latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.159927,-121.80258,1605.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,49.5,27.6,34.6,0.0,4.2,11.2,0.045
2014-01-02,50.6,27.7,35.3,0.0,3.2,9.4,0.043
2014-01-03,50.7,28.1,35.7,0.0,5.1,14.5,0.044
2014-01-04,42.7,25.6,31.4,0.0,5.6,19.2,0.049
2014-01-05,45.6,26.3,33.0,0.0,4.9,16.6,0.058
2014-01-06,44.4,26.6,33.5,0.0,3.3,12.8,0.035
2014-01-07,41.9,26.1,32.5,0.0,7.1,21.7,0.037
2014-01-08,39.9,28.4,32.5,4.0,7.6,24.8,0.030
2014-01-09,35.5,30.3,32.4,3.0,7.0,22.1,0.017
2014-01-10,41.9,27.2,33.4,0.0,6.6,21.3,0.029
2014-01-11,34.9,27.3,31.2,13.0,12.4,48.1,0.015
2014-01-12,38.1,24.2,29.4,0.0,6.3,19.0,0.025
2014-01-13,48.2,27.3,33.7,0.0,4.3,12.5,0.047
2014-01-14,52.0,27.7,35.3,0.0,3.9,11.6,0.057
2014-01-15,52.6,27.8,35.5,0.0,3.5,11.4,0.061
2014-01-16,52.7,27.4,36.1,0.0,3.7,12.5,0.061
2014-01-17,52.5,29.8,37.4,0.0,2.7,11.0,0.055
2014-01-18,52.8,27.6,36.6,0.0,3.5,10.3,0.054
2014-01-19,49.8,26.8,35.4,0.0,2.8,10.5,0.047
2014-01-20,51.6,27.1,35.7,0.0,4.2,11.9,0.055
2014-01-21,51.2,25.3,34.5,0.0,4.3,9.4,0.055
2014-01-22,50.9,26.4,34.7,0.0,5.9,19.0,0.069
2014-01-23,47.1,27.6,35.1,0.0,9.7,28.9,0.065
2014-01-24,51.7,30.6,38.1,0.0,8.6,25.3,0.072
2014-01-25,53.3,28.6,37.2,0.0,4.5,11.2,0.061
2014-01-26,53.6,29.0,38.0,0.0,2.8,9.4,0.058
2014-01-27,47.6,28.2,36.1,0.0,2.9,8.9,0.037
2014-01-28,44.9,31.1,37.2,4.0,5.9,17.4,0.028
2014-01-29,40.9,32.6,37.3,9.0,7.8,22.4,0.013
2014-01-30,40.1,26.4,32.0,6.0,4.5,14.3,0.034
2014-01-31,35.9,21.4,27.5,1.0,6.8,21.5,0.044
2014-02-01,38.1,21.9,28.1,0.0,5.0,16.1,0.054
2014-02-02,37.7,22.7,28.1,0.0,5.4,18.8,0.054
2014-02-03,35.5,22.5,27.1,0.0,7.5,22.6,0.047
2014-02-04,36.5,21.7,27.2,0.0,5.0,17.0,0.045
2014-02-05,36.4,20.9,27.2,0.0,5.4,19.7,0.050
2014-02-06,30.2,23.7,26.9,13.0,11.2,33.6,0.024
2014-02-07,31.3,28.0,29.2,24.0,16.2,41.2,0.012
2014-02-08,36.5,31.5,33.9,17.0,12.5,37.6,0.011
2014-02-09,36.9,31.8,34.8,20.0,5.6,20.1,0.018
2014-02-10,43.5,29.2,34.4,1.0,4.3,13.2,0.055
2014-02-11,42.6,25.1,33.4,1.0,7.8,23.7,0.043
2014-02-12,40.8,31.9,35.6,22.0,13.6,38.0,0.025
2014-02-13,43.0,34.5,38.5,11.0,6.7,21.0,0.025
2014-02-14,42.2,39.7,41.3,22.0,9.9,33.6,0.013
2014-02-15,43.4,35.4,39.2,16.0,17.5,46.3,0.028
2014-02-16,40.4,26.8,32.7,1.0,8.1,25.5,0.053
2014-02-17,43.8,26.0,34.5,0.0,10.5,30.2,0.064
2014-02-18,45.5,29.9,36.7,3.0,11.6,40.5,0.062
2014-02-19,41.5,26.0,32.8,4.0,7.9,28.6,0.063
2014-02-20,46.8,24.9,33.9,0.0,4.5,14.1,0.069
2014-02-21,46.3,26.2,34.7,0.0,4.8,16.1,0.065
2014-02-22,50.7,26.1,36.2,0.0,3.9,11.0,0.082
2014-02-23,51.1,25.5,37.4,0.0,5.5,16.8,0.084
2014-02-24,55.6,28.0,40.8,0.0,3.7,13.4,0.086
2014-02-25,55.6,28.4,41.9,0.0,8.1,22.6,0.094
2014-02-26,40.4,31.9,36.5,14.0,10.1,33.6,0.028
2014-02-27,37.0,30.6,34.1,21.0,8.7,32.9,0.025
2014-02-28,39.2,27.7,33.1,9.0,7.1,24.8,0.031
2014-03-01,40.8,31.9,35.2,12.0,10.8,28.0,0.042
2014-03-02,37.6,34.4,36.0,24.0,11.7,34.0,0.020
2014-03-03,37.6,34.8,36.3,24.0,11.2,33.1,0.026
2014-03-04,47.4,34.8,38.7,2.0,5.5,18.6,0.057
2014-03-05,44.4,34.8,39.1,13.0,13.9,45.9,0.028
2014-03-06,40.8,32.4,36.7,17.0,11.6,37.6,0.043
2014-03-07,51.8,29.0,38.9,0.0,4.9,15.0,0.092
2014-03-08,54.9,29.7,41.7,4.0,8.5,22.8,0.095
2014-03-09,41.3,37.9,39.8,24.0,8.8,26.2,0.019
2014-03-10,43.5,28.6,36.8,10.0,9.4,31.5,0.076
