latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.441124,-120.30217,2035.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,45.0,21.4,31.0,0.0,6.7,15.7,0.048
2014-01-02,46.5,22.0,32.0,0.0,6.7,12.1,0.046
2014-01-03,43.8,26.7,32.6,0.0,6.6,21.0,0.044
2014-01-04,37.2,16.5,25.8,0.0,5.2,16.8,0.043
2014-01-05,40.1,15.5,25.5,0.0,6.1,15.9,0.054
2014-01-06,42.6,21.5,30.2,0.0,7.9,20.8,0.057
2014-01-07,41.5,25.0,30.6,0.0,6.1,22.6,0.045
2014-01-08,37.9,24.7,29.3,1.0,6.3,19.7,0.031
2014-01-09,31.8,25.9,28.5,11.0,8.1,25.1,0.022
2014-01-10,40.6,23.9,31.5,0.0,6.0,22.8,0.033
2014-01-11,36.3,23.1,30.6,13.0,14.8,53.2,0.024
2014-01-12,30.2,18.5,24.6,0.0,8.2,23.9,0.026
2014-01-13,40.3,21.3,29.8,0.0,5.0,13.6,0.042
2014-01-14,47.6,18.3,31.0,0.0,5.7,11.0,0.052
2014-01-15,49.2,19.8,31.1,0.0,4.6,9.4,0.055
2014-01-16,48.6,19.2,31.1,0.0,5.9,12.8,0.064
2014-01-17,49.3,24.0,33.0,0.0,7.0,16.1,0.075
2014-01-18,49.1,22.8,33.4,0.0,8.5,19.2,0.079
2014-01-19,48.0,25.7,34.7,0.0,7.6,14.8,0.064
2014-01-20,47.2,20.3,31.6,0.0,6.8,17.9,0.066
2014-01-21,48.2,24.2,33.9,0.0,7.4,15.7,0.066
2014-01-22,43.7,23.6,32.2,0.0,6.7,21.5,0.060
2014-01-23,39.7,20.5,28.1,0.0,11.2,29.5,0.052
2014-01-24,44.3,22.3,31.0,0.0,8.5,26.2,0.063
2014-01-25,49.8,25.4,34.5,0.0,5.9,12.1,0.066
2014-01-26,49.4,25.1,35.4,0.0,4.3,10.7,0.065
2014-01-27,45.1,28.4,34.9,0.0,3.6,13.0,0.046
2014-01-28,43.5,27.4,35.1,6.0,4.5,14.3,0.040
2014-01-29,38.7,27.8,34.5,14.0,6.5,29.8,0.009
2014-01-30,34.2,24.4,27.6,4.0,5.7,17.2,0.037
2014-01-31,27.4,18.6,22.7,0.0,7.8,22.4,0.037
2014-02-01,32.1,17.5,23.8,0.0,6.0,18.6,0.053
2014-02-02,33.7,17.9,24.4,0.0,6.1,18.6,0.056
2014-02-03,27.8,17.4,21.6,2.0,9.6,30.0,0.040
2014-02-04,27.5,13.7,20.0,0.0,7.6,22.4,0.042
2014-02-05,31.9,14.1,22.6,0.0,8.7,26.6,0.052
2014-02-06,33.3,19.1,25.4,12.0,8.4,24.4,0.034
2014-02-07,31.3,25.5,27.7,22.0,13.6,43.4,0.024
2014-02-08,34.9,30.9,32.3,10.0,12.5,42.5,0.015
2014-02-09,36.5,29.5,32.3,18.0,4.3,33.1,0.025
2014-02-10,33.7,22.1,28.7,4.0,3.8,12.8,0.046
