latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.246044,-120.58989,1799.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,45.9,24.2,33.1,0.0,4.1,14.3,0.046
2014-01-02,46.4,25.5,33.1,0.0,3.3,9.4,0.044
2014-01-03,52.3,25.1,35.8,0.0,5.7,15.4,0.053
2014-01-04,40.1,24.8,30.8,0.0,5.6,18.8,0.046
2014-01-05,40.5,20.2,28.4,0.0,6.8,21.5,0.053
2014-01-06,41.9,22.5,29.5,1.0,4.5,13.4,0.041
2014-01-07,46.3,23.0,32.2,0.0,6.4,21.0,0.047
2014-01-08,41.8,25.5,31.4,0.0,6.7,21.5,0.034
2014-01-09,41.9,26.7,31.9,0.0,8.7,23.7,0.030
2014-01-10,48.3,25.7,34.1,0.0,4.5,18.1,0.041
2014-01-11,36.0,28.0,31.6,11.0,13.5,43.0,0.019
2014-01-12,38.9,21.6,29.5,0.0,7.0,20.8,0.040
2014-01-13,47.5,24.5,32.9,0.0,4.1,10.7,0.050
2014-01-14,48.3,24.5,33.2,0.0,3.6,10.7,0.051
2014-01-15,48.3,24.0,32.9,0.0,4.3,13.0,0.054
2014-01-16,46.7,22.1,31.8,0.0,4.5,16.1,0.055
2014-01-17,48.0,23.8,33.0,0.0,3.7,13.6,0.055
2014-01-18,47.6,24.4,33.2,0.0,4.3,15.0,0.055
2014-01-19,50.5,24.8,34.5,0.0,2.2,9.6,0.052
2014-01-20,46.8,24.6,33.2,0.0,4.7,15.0,0.056
2014-01-21,48.3,23.0,33.0,0.0,2.5,10.5,0.054
2014-01-22,50.7,24.1,34.8,0.0,7.2,15.7,0.065
2014-01-23,40.7,24.6,32.1,0.0,12.8,36.2,0.066
2014-01-24,46.7,26.9,35.4,0.0,9.4,27.5,0.067
2014-01-25,48.2,28.1,35.3,0.0,4.1,14.3,0.060
2014-01-26,50.9,27.3,36.5,0.0,3.4,10.1,0.062
2014-01-27,51.0,29.0,37.5,0.0,3.9,8.5,0.050
2014-01-28,48.8,30.3,38.1,2.0,5.1,16.8,0.048
2014-01-29,44.6,31.8,36.9,12.0,9.2,33.3,0.015
2014-01-30,37.9,27.6,31.3,10.0,4.2,14.5,0.037
2014-01-31,33.0,22.9,27.1,2.0,6.9,19.7,0.048
2014-02-01,36.0,20.9,26.3,0.0,5.0,14.8,0.056
2014-02-02,34.1,18.0,25.4,0.0,4.7,15.4,0.049
2014-02-03,35.0,19.2,25.9,0.0,7.3,20.6,0.046
2014-02-04,36.1,19.1,25.9,0.0,5.5,13.4,0.052
2014-02-05,38.6,19.2,27.0,0.0,8.3,24.6,0.056
2014-02-06,33.9,24.9,28.7,7.0,10.1,30.9,0.028
2014-02-07,32.9,29.1,30.3,19.0,16.4,45.4,0.024
2014-02-08,35.1,33.2,34.0,15.0,13.8,43.2,0.013
2014-02-09,39.2,32.7,35.5,19.0,8.9,30.0,0.022
