latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.441124,-121.33815,1309.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,50.1,25.5,34.5,0.0,4.8,11.2,0.047
2014-01-02,49.9,24.9,35.1,0.0,3.8,9.8,0.044
2014-01-03,52.3,28.0,36.5,0.0,4.0,10.1,0.044
2014-01-04,40.9,23.8,30.1,0.0,6.8,20.1,0.047
2014-01-05,45.6,21.6,31.3,0.0,6.8,18.8,0.060
2014-01-06,44.6,23.4,32.3,0.0,4.7,11.0,0.044
2014-01-07,46.5,28.3,34.7,0.0,7.7,21.5,0.045
2014-01-08,43.9,30.2,34.9,2.0,8.9,24.6,0.034
2014-01-09,39.0,31.0,34.9,14.0,7.3,20.8,0.020
2014-01-10,45.1,28.7,35.4,0.0,6.9,17.2,0.031
2014-01-11,38.6,29.8,34.6,13.0,15.2,42.3,0.015
2014-01-12,40.8,26.8,32.3,1.0,4.6,14.1,0.030
2014-01-13,47.9,26.3,33.8,0.0,5.2,11.4,0.046
2014-01-14,50.2,24.7,33.6,0.0,5.6,11.2,0.053
2014-01-15,51.4,23.7,34.0,0.0,6.0,12.3,0.060
2014-01-16,52.6,23.5,34.9,0.0,5.3,12.5,0.065
2014-01-17,53.0,25.7,36.1,0.0,3.8,11.0,0.061
2014-01-18,52.7,23.8,35.4,0.0,4.0,11.4,0.059
2014-01-19,51.7,26.3,36.7,0.0,3.6,9.6,0.052
2014-01-20,53.4,24.3,36.9,0.0,4.1,11.0,0.063
2014-01-21,53.1,23.0,35.0,0.0,5.1,9.2,0.062
2014-01-22,50.9,23.2,34.1,0.0,6.6,17.2,0.064
2014-01-23,48.1,27.3,35.2,0.0,10.1,27.1,0.063
2014-01-24,53.5,28.3,38.6,0.0,10.3,26.8,0.075
2014-01-25,53.9,27.5,37.3,0.0,5.4,11.2,0.065
2014-01-26,54.6,27.4,37.7,0.0,3.6,9.6,0.060
2014-01-27,49.0,28.3,36.9,0.0,4.1,8.1,0.042
2014-01-28,47.6,31.8,38.8,1.0,4.9,12.3,0.035
2014-01-29,44.1,34.1,39.9,7.0,7.7,21.5,0.011
2014-01-30,42.3,30.2,34.4,6.0,4.8,14.5,0.039
2014-01-31,38.2,24.7,30.3,0.0,6.3,18.1,0.047
2014-02-01,41.8,24.9,30.7,0.0,4.7,14.1,0.058
2014-02-02,42.6,24.8,31.1,0.0,5.1,15.4,0.061
2014-02-03,38.5,24.2,29.8,1.0,6.7,20.1,0.048
2014-02-04,39.6,24.9,30.0,0.0,3.6,13.4,0.048
2014-02-05,42.0,25.2,31.0,0.0,7.6,23.3,0.059
2014-02-06,36.0,27.1,30.9,7.0,11.9,29.5,0.027
2014-02-07,35.2,31.9,33.3,24.0,15.8,40.3,0.016
2014-02-08,41.0,35.4,38.1,16.0,14.9,38.9,0.010
2014-02-09,43.8,34.6,39.8,19.0,7.3,25.5,0.019
2014-02-10,43.5,31.6,36.2,3.0,4.3,12.5,0.055
2014-02-11,47.1,27.7,37.5,0.0,5.3,16.8,0.047
2014-02-12,45.2,36.4,39.6,11.0,14.1,35.1,0.036
2014-02-13,47.2,38.2,42.3,14.0,10.2,24.6,0.028
2014-02-14,46.3,43.0,44.7,13.0,13.5,33.1,0.019
2014-02-15,50.8,38.5,43.5,7.0,17.5,42.1,0.047
2014-02-16,44.1,29.7,36.1,4.0,14.1,37.8,0.059
2014-02-17,47.0,29.7,37.5,0.0,11.9,29.8,0.074
2014-02-18,49.4,31.8,40.0,1.0,13.6,34.2,0.071
2014-02-19,41.7,27.4,34.0,7.0,11.9,35.6,0.064
2014-02-20,48.4,27.0,35.9,0.0,4.8,11.4,0.072
2014-02-21,47.5,27.2,36.2,0.0,5.5,16.1,0.068
2014-02-22,51.6,26.5,37.6,0.0,4.0,11.9,0.084
2014-02-23,54.8,28.1,40.0,0.0,6.9,19.0,0.091
2014-02-24,59.4,35.0,45.4,0.0,5.5,14.1,0.094
2014-02-25,60.4,38.3,47.1,0.0,6.3,16.1,0.101
2014-02-26,47.7,35.4,40.5,12.0,7.3,30.9,0.030
2014-02-27,41.9,33.8,37.7,14.0,11.4,29.8,0.031
2014-02-28,44.2,27.3,35.7,13.0,7.2,30.2,0.037
2014-03-01,45.8,34.0,38.5,6.0,11.2,27.7,0.051
2014-03-02,44.0,37.5,39.9,18.0,13.0,38.5,0.027
2014-03-03,43.8,37.0,40.0,21.0,12.2,29.5,0.029
2014-03-04,51.7,36.6,41.8,3.0,5.6,16.8,0.061
2014-03-05,49.3,38.0,42.8,8.0,14.0,41.4,0.039
2014-03-06,45.2,34.6,40.4,13.0,14.1,39.1,0.047
2014-03-07,52.8,29.8,40.6,0.0,5.8,15.9,0.096
2014-03-08,58.7,32.8,44.9,1.0,9.3,21.3,0.105
2014-03-09,47.0,40.7,43.4,24.0,10.9,26.4,0.024
2014-03-10,44.4,31.0,38.8,14.0,9.8,26.6,0.071
2014-03-11,45.9,28.6,35.9,0.0,12.2,31.3,0.095
2014-03-12,55.3,26.0,40.3,0.0,5.0,16.1,0.113
2014-03-13,59.7,27.5,43.5,0.0,3.6,13.0,0.118
2014-03-14,57.1,33.3,43.6,0.0,6.0,18.1,0.109
2014-03-15,63.7,30.6,46.3,0.0,5.8,15.0,0.132
2014-03-16,61.6,35.0,48.6,0.0,14.4,34.9,0.143
2014-03-17,45.7,32.3,39.0,0.0,12.8,33.3,0.109
2014-03-18,49.2,27.6,37.2,0.0,8.6,23.7,0.111
2014-03-19,58.4,27.0,42.1,0.0,7.4,19.0,0.128
2014-03-20,57.0,28.4,42.4,0.0,5.7,15.7,0.128
2014-03-21,57.3,30.5,42.5,0.0,8.2,22.6,0.134
2014-03-22,57.6,29.2,43.0,0.0,5.3,17.2,0.127
2014-03-23,61.8,28.7,45.7,0.0,3.8,13.4,0.139
2014-03-24,63.8,34.8,48.4,0.0,10.1,26.8,0.158
2014-03-25,42.7,35.8,38.8,15.0,9.9,28.4,0.053
2014-03-26,41.4,32.6,35.8,18.0,11.7,28.9,0.051
2014-03-27,42.9,30.8,36.6,13.0,13.6,34.0,0.066
