latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.175747,-121.93547,438.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,66.1,40.5,50.0,0.0,7.7,14.8,0.079
2014-01-02,64.2,38.8,48.6,0.0,6.6,12.3,0.065
2014-01-03,65.0,39.2,49.0,0.0,5.7,11.9,0.063
2014-01-04,63.3,36.3,46.8,0.0,8.6,17.9,0.094
2014-01-05,63.3,39.4,48.0,0.0,8.6,17.7,0.106
2014-01-06,57.4,39.2,46.2,0.0,8.0,16.3,0.068
2014-01-07,58.4,36.0,45.4,0.0,6.2,13.0,0.061
2014-01-08,55.5,33.5,43.6,0.0,6.1,13.4,0.050
2014-01-09,53.7,39.1,46.7,0.0,5.2,12.5,0.040
2014-01-10,59.0,34.0,45.1,0.0,5.2,11.2,0.050
2014-01-11,50.4,38.0,45.8,11.0,13.9,30.6,0.032
2014-01-12,54.8,32.1,42.2,0.0,11.0,23.9,0.064
2014-01-13,66.7,38.9,49.4,0.0,8.5,17.7,0.099
2014-01-14,71.1,40.6,52.4,0.0,9.0,19.2,0.124
2014-01-15,73.7,43.8,54.5,0.0,9.3,19.7,0.137
2014-01-16,72.2,42.1,53.8,0.0,9.3,19.2,0.133
2014-01-17,68.2,42.7,52.3,0.0,8.3,16.3,0.105
2014-01-18,68.2,40.6,51.5,0.0,7.4,15.7,0.096
2014-01-19,66.1,39.0,49.8,0.0,7.1,14.8,0.086
2014-01-20,67.3,35.7,48.5,0.0,7.3,16.3,0.096
2014-01-21,66.3,37.6,49.7,0.0,7.6,15.9,0.101
2014-01-22,70.6,41.2,52.9,0.0,8.9,22.4,0.135
2014-01-23,66.6,42.6,52.5,0.0,9.1,23.0,0.130
2014-01-24,69.5,44.3,54.0,0.0,8.6,17.9,0.110
2014-01-25,69.9,42.6,53.6,0.0,7.7,18.8,0.118
2014-01-26,67.3,39.6,51.9,0.0,6.3,13.9,0.097
2014-01-27,61.4,39.4,50.1,0.0,5.5,11.0,0.055
2014-01-28,60.6,45.8,53.1,0.0,3.7,10.7,0.045
2014-01-29,55.7,47.3,51.9,17.0,9.1,19.7,0.023
2014-01-30,56.1,40.2,48.2,0.0,6.2,19.2,0.064
2014-01-31,53.5,31.4,42.6,0.0,10.7,25.1,0.086
2014-02-01,53.1,28.6,40.0,0.0,7.5,16.1,0.083
2014-02-02,48.4,32.3,40.6,0.0,7.8,16.8,0.065
2014-02-03,49.8,26.4,37.7,0.0,5.4,16.1,0.058
2014-02-04,49.4,26.5,36.7,0.0,4.5,13.2,0.062
2014-02-05,50.5,27.0,38.7,0.0,6.7,15.9,0.069
2014-02-06,42.0,38.2,39.8,21.0,12.1,26.2,0.016
2014-02-07,44.5,40.4,42.5,23.0,21.9,46.8,0.013
2014-02-08,51.2,44.1,47.8,22.0,18.3,39.8,0.010
2014-02-09,53.9,50.4,51.8,21.0,14.0,35.8,0.017
2014-02-10,60.2,43.5,51.5,6.0,4.5,13.4,0.076
2014-02-11,58.4,36.6,47.9,1.0,4.9,12.3,0.066
2014-02-12,60.0,45.2,52.0,3.0,12.8,28.9,0.108
2014-02-13,57.4,50.0,53.1,15.0,6.6,14.8,0.030
2014-02-14,60.7,53.1,55.8,0.0,14.0,32.0,0.051
2014-02-15,56.4,48.7,53.1,8.0,20.8,41.8,0.043
2014-02-16,56.1,37.1,48.1,6.0,11.3,25.5,0.070
2014-02-17,58.4,34.3,45.6,0.0,4.8,13.4,0.087
2014-02-18,60.3,35.1,47.3,0.0,10.1,21.5,0.085
2014-02-19,55.8,39.9,48.1,0.0,8.7,21.9,0.097
2014-02-20,62.6,36.2,48.0,0.0,8.4,21.7,0.109
2014-02-21,63.6,38.9,49.7,0.0,9.2,22.8,0.108
2014-02-22,65.8,36.6,49.4,0.0,7.0,19.0,0.110
2014-02-23,66.0,34.8,50.0,0.0,6.0,12.3,0.108
2014-02-24,68.4,38.9,52.5,0.0,5.9,13.2,0.107
2014-02-25,69.8,37.6,53.6,0.0,7.0,17.4,0.120
2014-02-26,53.9,46.3,50.4,14.0,11.5,44.5,0.037
2014-02-27,52.5,45.6,48.9,14.0,17.7,39.8,0.029
2014-02-28,51.8,43.5,47.2,18.0,7.6,23.0,0.029
2014-03-01,56.0,45.3,49.8,10.0,11.4,25.7,0.063
2014-03-02,52.0,48.0,50.2,10.0,15.7,32.2,0.031
2014-03-03,50.2,47.3,48.6,20.0,16.1,32.2,0.018
2014-03-04,59.0,43.9,51.0,5.0,7.2,16.1,0.060
2014-03-05,59.0,43.3,52.4,15.0,18.0,40.7,0.048
2014-03-06,56.9,42.8,51.2,13.0,11.4,28.2,0.062
2014-03-07,65.3,38.7,50.5,0.0,8.8,20.1,0.126
2014-03-08,65.4,41.6,54.0,1.0,8.1,16.6,0.127
2014-03-09,56.2,51.9,53.4,21.0,10.0,21.3,0.033
2014-03-10,59.2,45.6,52.4,7.0,10.1,21.7,0.125
2014-03-11,63.5,39.9,49.8,0.0,10.5,25.5,0.147
2014-03-12,67.2,38.3,51.0,0.0,8.2,19.0,0.155
2014-03-13,68.7,38.9,53.6,0.0,7.4,16.6,0.147
2014-03-14,68.2,40.7,53.4,1.0,8.5,18.1,0.133
2014-03-15,72.2,43.9,56.9,0.0,7.5,16.3,0.155
2014-03-16,71.7,43.0,57.7,0.0,9.7,22.6,0.161
2014-03-17,62.5,42.6,52.5,0.0,12.6,29.5,0.158
2014-03-18,66.9,41.9,52.6,0.0,9.4,23.5,0.179
2014-03-19,66.9,37.9,53.0,0.0,7.9,15.0,0.154
2014-03-20,68.3,38.9,53.3,0.0,5.4,15.0,0.148
2014-03-21,69.6,40.4,54.5,0.0,5.8,18.1,0.153
2014-03-22,69.6,38.6,53.8,0.0,7.1,20.8,0.163
2014-03-23,71.7,39.3,55.4,0.0,6.6,18.8,0.165
2014-03-24,74.1,39.8,57.9,0.0,7.8,17.2,0.189
2014-03-25,54.9,47.7,51.7,15.0,11.1,23.0,0.075
2014-03-26,49.8,43.6,46.1,19.0,14.0,29.8,0.037
2014-03-27,56.7,42.3,48.8,4.0,10.5,26.2,0.087
2014-03-28,54.2,48.3,50.8,16.0,17.4,36.7,0.050
2014-03-29,52.8,43.8,49.7,24.0,15.1,36.2,0.033
2014-03-30,53.8,38.3,46.6,9.0,8.8,21.5,0.093
2014-03-31,47.9,37.6,42.6,10.0,16.5,37.4,0.044
2014-04-01,49.6,38.6,42.4,17.0,12.3,27.5,0.055
2014-04-02,56.2,33.0,44.9,0.0,5.2,16.6,0.116
2014-04-03,57.1,37.5,47.5,0.0,10.6,27.5,0.102
2014-04-04,56.4,41.6,48.9,1.0,5.6,16.8,0.104
2014-04-05,63.9,35.6,50.5,0.0,8.4,21.9,0.137
2014-04-06,72.9,41.1,56.9,0.0,9.8,25.1,0.176
2014-04-07,75.9,46.9,61.1,0.0,7.9,16.3,0.191
2014-04-08,76.9,46.0,61.7,0.0,7.2,17.2,0.182
2014-04-09,76.0,48.2,62.6,0.0,7.6,17.9,0.185
2014-04-10,78.4,45.0,62.4,0.0,5.2,14.5,0.191
2014-04-11,79.2,45.6,62.6,0.0,5.8,17.7,0.204
2014-04-12,77.0,47.2,63.0,0.0,7.2,16.8,0.193
2014-04-13,76.8,46.4,63.3,0.0,8.5,24.2,0.216
2014-04-14,78.1,46.9,63.3,0.0,8.6,17.0,0.230
2014-04-15,75.7,46.8,63.1,0.0,6.5,18.8,0.201
2014-04-16,77.2,48.4,64.1,0.0,11.5,29.5,0.227
2014-04-17,78.6,49.0,63.7,1.0,13.4,34.2,0.206
2014-04-18,77.1,49.4,64.3,0.0,9.7,25.5,0.211
2014-04-19,74.6,49.1,61.7,0.0,9.1,23.9,0.213
2014-04-20,79.2,44.6,62.4,0.0,9.2,24.4,0.218
2014-04-21,74.9,48.1,62.7,0.0,15.7,37.4,0.196
2014-04-22,61.7,46.5,53.5,5.0,10.1,23.9,0.168
2014-04-23,65.2,39.3,54.6,0.0,4.2,17.4,0.156
2014-04-24,69.4,44.8,57.8,1.0,10.3,26.4,0.153
2014-04-25,54.3,42.7,48.9,9.0,5.2,16.6,0.072
2014-04-26,60.5,35.8,49.7,0.0,9.1,21.3,0.155
2014-04-27,59.0,46.5,52.2,0.0,11.3,24.2,0.114
2014-04-28,69.9,39.4,56.1,0.0,6.9,20.8,0.197
2014-04-29,84.3,48.5,66.6,0.0,8.9,21.9,0.261
2014-04-30,87.9,52.9,70.2,0.0,8.1,20.4,0.267
2014-05-01,86.2,54.8,71.5,0.0,8.8,19.0,0.271
2014-05-02,84.4,50.8,70.4,0.0,12.3,28.6,0.281
2014-05-03,75.2,53.2,65.0,0.0,12.7,29.3,0.240
2014-05-04,70.5,48.3,61.0,0.0,11.5,26.4,0.179
2014-05-05,66.1,52.9,58.5,2.0,9.0,21.9,0.182
2014-05-06,72.8,47.3,60.1,0.0,13.3,31.5,0.241
2014-05-07,72.5,43.8,60.9,0.0,8.2,21.7,0.232
2014-05-08,66.9,55.0,60.2,7.0,15.1,32.7,0.137
2014-05-09,71.5,51.7,59.9,5.0,8.8,24.2,0.195
2014-05-10,66.2,44.6,56.7,0.0,13.0,30.2,0.218
2014-05-11,76.8,43.1,61.8,0.0,9.6,26.8,0.260
2014-05-12,82.1,51.0,67.3,0.0,7.9,22.1,0.258
2014-05-13,88.2,55.2,72.5,0.0,7.6,21.9,0.280
2014-05-14,91.6,56.2,75.3,0.0,7.3,19.5,0.286
2014-05-15,89.5,57.3,75.7,0.0,9.0,21.7,0.274
2014-05-16,87.4,57.0,73.8,0.0,5.2,18.1,0.268
2014-05-17,82.1,57.5,71.7,0.0,8.5,24.4,0.268
2014-05-18,74.6,54.5,64.9,0.0,8.0,22.4,0.233
2014-05-19,72.4,50.6,60.4,4.0,11.1,29.1,0.186
2014-05-20,73.0,46.7,61.7,2.0,7.2,20.8,0.180
2014-05-21,84.1,48.1,68.2,0.0,9.9,25.7,0.243
2014-05-22,86.6,52.5,71.7,0.0,7.9,27.5,0.252
2014-05-23,88.1,56.0,73.8,0.0,8.5,23.5,0.247
2014-05-24,90.4,58.3,76.4,0.0,9.0,25.3,0.292
2014-05-25,92.0,59.0,77.5,0.0,8.5,23.0,0.295
2014-05-26,87.5,58.5,75.9,0.0,6.0,18.6,0.273
2014-05-27,84.3,62.8,73.3,0.0,10.1,28.9,0.283
2014-05-28,76.3,51.1,65.0,0.0,10.7,27.5,0.295
2014-05-29,83.5,53.0,69.9,0.0,9.0,23.3,0.296
2014-05-30,83.2,52.0,70.1,0.0,9.2,25.3,0.296
2014-05-31,85.6,49.1,70.8,0.0,8.1,19.2,0.289
2014-06-01,89.3,55.7,75.3,0.0,7.9,20.4,0.308
2014-06-02,87.7,57.2,75.2,0.0,11.2,25.1,0.330
2014-06-03,86.5,59.2,74.0,0.0,7.5,19.5,0.276
2014-06-04,93.5,57.2,77.3,0.0,9.2,25.5,0.302
2014-06-05,97.2,58.9,80.7,0.0,6.5,19.2,0.319
2014-06-06,96.7,68.0,82.9,0.0,8.2,23.0,0.315
2014-06-07,98.3,60.7,83.0,0.0,10.1,27.7,0.365
2014-06-08,99.1,67.2,84.7,0.0,8.6,26.6,0.359
2014-06-09,99.4,65.1,84.4,0.0,6.8,19.7,0.325
2014-06-10,98.5,64.8,83.9,0.0,12.1,31.1,0.387
2014-06-11,93.0,62.0,79.2,0.0,11.9,29.3,0.340
2014-06-12,83.6,63.5,73.7,0.0,10.8,27.5,0.302
2014-06-13,81.5,53.7,70.2,0.0,12.1,27.7,0.312
2014-06-14,83.5,57.0,72.7,0.0,8.7,22.4,0.273
2014-06-15,84.9,55.6,72.9,0.0,7.6,20.1,0.280
2014-06-16,78.0,60.6,69.4,0.0,7.3,19.9,0.259
2014-06-17,79.7,56.9,68.9,0.0,11.6,29.8,0.320
2014-06-18,87.3,55.3,73.9,0.0,7.4,21.5,0.306
2014-06-19,90.9,57.7,77.4,0.0,6.9,21.0,0.307
2014-06-20,90.6,64.8,79.7,0.0,5.4,18.6,0.278
2014-06-21,90.6,61.4,78.3,0.0,6.5,19.2,0.290
2014-06-22,92.0,59.5,78.7,0.0,7.0,20.6,0.305
2014-06-23,93.4,63.6,80.0,0.0,5.7,18.1,0.290
2014-06-24,90.6,62.7,78.9,0.0,7.7,22.6,0.294
2014-06-25,82.4,69.6,76.2,0.0,10.6,23.5,0.199
2014-06-26,77.9,61.0,69.4,9.0,6.9,18.8,0.171
2014-06-27,85.3,64.9,75.0,0.0,7.7,22.6,0.251
2014-06-28,89.8,66.8,78.3,0.0,4.9,17.7,0.267
2014-06-29,95.8,60.5,80.6,0.0,7.5,21.5,0.305
2014-06-30,104.1,65.1,86.6,0.0,8.2,22.1,0.343
2014-07-01,100.4,68.6,86.4,0.0,11.3,26.6,0.349
2014-07-02,97.6,66.4,84.1,0.0,9.0,22.8,0.314
2014-07-03,97.5,66.3,84.1,0.0,10.1,24.6,0.333
2014-07-04,96.7,63.9,83.0,0.0,13.7,31.5,0.363
2014-07-05,97.0,61.3,82.2,0.0,9.9,25.5,0.334
2014-07-06,100.6,62.3,84.2,0.0,6.4,17.2,0.330
2014-07-07,101.9,66.4,85.9,0.0,10.0,22.4,0.326
2014-07-08,98.0,74.7,86.7,0.0,7.6,17.0,0.266
2014-07-09,97.9,71.4,85.2,0.0,11.2,26.4,0.310
2014-07-10,95.5,67.7,82.2,0.0,10.1,23.7,0.320
2014-07-11,92.5,68.8,80.1,0.0,8.1,21.7,0.262
2014-07-12,98.5,64.5,83.2,0.0,6.2,18.8,0.295
2014-07-13,102.1,68.5,87.0,0.0,5.8,17.4,0.287
2014-07-14,105.8,68.5,88.8,0.0,12.4,28.6,0.351
2014-07-15,92.4,74.7,83.9,0.0,9.0,19.5,0.227
2014-07-16,91.8,72.5,82.6,0.0,8.8,19.2,0.222
2014-07-17,93.1,68.0,80.8,0.0,9.7,24.8,0.274
2014-07-18,93.3,68.0,80.6,0.0,9.4,21.9,0.278
2014-07-19,98.0,70.0,83.9,0.0,12.8,27.1,0.303
2014-07-20,91.9,68.8,81.3,0.0,16.6,31.5,0.308
2014-07-21,83.5,70.3,77.5,2.0,11.5,31.3,0.230
2014-07-22,87.5,64.1,76.9,0.0,13.2,30.4,0.269
2014-07-23,85.3,62.7,74.3,0.0,10.0,22.8,0.256
2014-07-24,92.7,60.6,78.5,0.0,9.7,26.4,0.298
2014-07-25,96.6,59.1,81.0,0.0,6.4,19.2,0.303
2014-07-26,99.1,63.4,83.6,0.0,6.9,18.8,0.315
2014-07-27,98.7,69.2,85.0,0.0,6.7,15.0,0.251
2014-07-28,97.0,68.3,82.9,0.0,11.7,29.3,0.302
2014-07-29,98.8,68.1,85.3,0.0,8.4,18.3,0.293
2014-07-30,100.6,69.5,86.7,0.0,9.4,18.1,0.301
2014-07-31,102.5,71.7,88.3,0.0,8.4,21.5,0.315
2014-08-01,101.9,69.2,87.8,0.0,10.9,24.2,0.327
2014-08-02,99.3,70.3,86.3,0.0,11.2,26.4,0.330
2014-08-03,92.9,65.1,80.6,0.0,10.6,25.9,0.277
2014-08-04,82.7,70.4,77.1,0.0,10.1,23.0,0.186
2014-08-05,72.3,65.5,68.7,19.0,6.7,15.7,0.072
2014-08-06,86.1,63.1,75.3,2.0,7.5,17.7,0.203
2014-08-07,93.5,65.4,80.2,0.0,5.6,18.3,0.236
2014-08-08,93.5,68.0,81.1,0.0,6.2,18.3,0.249
2014-08-09,93.2,65.5,80.2,0.0,6.9,19.5,0.255
2014-08-10,92.5,63.4,79.6,0.0,6.7,19.0,0.226
2014-08-11,95.4,64.2,81.2,0.0,6.8,17.9,0.243
2014-08-12,87.2,64.0,77.0,0.0,14.1,32.9,0.288
2014-08-13,83.2,61.1,73.2,0.0,10.1,25.5,0.222
2014-08-14,87.6,58.9,75.3,0.0,7.8,20.8,0.248
2014-08-15,92.1,61.1,78.7,0.0,8.2,19.7,0.264
2014-08-16,94.3,61.8,79.9,0.0,8.8,20.6,0.282
2014-08-17,94.2,60.9,79.4,0.0,7.5,18.8,0.275
2014-08-18,93.3,61.2,78.4,0.0,7.0,20.1,0.264
2014-08-19,92.3,61.2,77.5,0.0,10.1,21.7,0.270
2014-08-20,86.5,66.6,76.5,0.0,12.5,25.1,0.251
2014-08-21,89.7,63.2,78.0,0.0,9.4,22.4,0.257
2014-08-22,87.8,64.2,77.2,0.0,6.4,19.9,0.245
2014-08-23,91.7,62.2,78.3,0.0,9.5,24.4,0.263
2014-08-24,92.0,60.0,77.5,0.0,8.9,18.6,0.265
2014-08-25,85.3,64.0,75.7,0.0,6.5,19.0,0.226
2014-08-26,92.3,60.6,77.9,0.0,8.3,22.1,0.248
2014-08-27,94.2,62.6,79.8,0.0,5.8,15.7,0.241
2014-08-28,95.1,65.5,81.6,0.0,4.9,15.2,0.236
2014-08-29,91.1,67.2,79.6,0.0,9.4,21.3,0.219
2014-08-30,90.9,67.2,80.1,0.0,5.2,17.2,0.224
2014-08-31,90.7,65.2,78.5,0.0,6.9,20.1,0.237
2014-09-01,96.0,63.0,80.2,0.0,8.0,22.6,0.271
2014-09-02,94.3,64.4,80.1,0.0,9.3,22.4,0.275
2014-09-03,94.2,61.8,79.6,0.0,10.9,28.4,0.302
2014-09-04,93.8,62.5,78.7,0.0,8.9,24.2,0.291
2014-09-05,93.2,58.7,76.5,0.0,7.0,19.7,0.255
2014-09-06,91.5,60.8,77.0,0.0,9.6,24.8,0.248
2014-09-07,91.4,59.1,76.2,0.0,9.1,21.9,0.236
2014-09-08,87.0,58.2,73.4,0.0,8.5,20.8,0.240
2014-09-09,88.7,57.5,74.2,0.0,4.9,16.1,0.211
2014-09-10,94.9,61.5,78.1,0.0,6.8,19.9,0.256
2014-09-11,94.9,60.3,78.5,0.0,5.6,16.8,0.232
2014-09-12,95.1,60.3,78.9,0.0,6.9,17.7,0.248
2014-09-13,94.4,66.0,80.7,0.0,6.7,16.3,0.224
2014-09-14,94.2,64.5,80.7,0.0,8.8,19.7,0.248
2014-09-15,92.6,64.4,79.5,0.0,15.2,34.2,0.286
2014-09-16,88.3,62.7,76.5,0.0,8.3,22.4,0.219
2014-09-17,87.4,62.2,75.1,0.0,17.6,37.4,0.279
2014-09-18,76.5,64.2,69.6,4.0,12.6,27.1,0.138
2014-09-19,92.7,58.2,75.4,0.0,10.1,28.0,0.225
2014-09-20,90.9,58.9,75.3,0.0,6.6,18.3,0.200
2014-09-21,82.8,64.5,74.0,0.0,7.6,20.4,0.166
2014-09-22,86.6,63.2,74.4,0.0,9.2,21.7,0.194
2014-09-23,85.1,64.1,74.6,0.0,14.5,31.8,0.241
2014-09-24,81.4,63.5,72.1,4.0,15.2,35.1,0.195
2014-09-25,66.6,58.6,62.2,12.0,10.7,25.5,0.087
2014-09-26,68.7,53.2,60.5,0.0,7.2,18.8,0.104
2014-09-27,74.4,48.6,61.4,0.0,7.8,22.4,0.137
