latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.175747,-122.81906,1161.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,58.4,34.6,43.5,0.0,2.4,9.6,0.048
2014-01-02,57.8,34.8,43.9,0.0,2.0,10.3,0.047
2014-01-03,58.5,38.1,45.3,0.0,3.5,11.6,0.051
2014-01-04,52.5,35.2,42.9,0.0,6.0,24.6,0.071
2014-01-05,53.8,36.4,43.4,0.0,5.1,21.3,0.074
2014-01-06,46.8,35.0,41.0,4.0,3.0,16.6,0.034
2014-01-07,47.8,32.6,39.1,0.0,3.3,13.0,0.028
2014-01-08,47.8,33.5,39.0,3.0,4.5,20.8,0.033
2014-01-09,45.3,35.2,39.4,3.0,5.3,22.8,0.035
2014-01-10,53.2,35.6,41.8,0.0,3.2,20.4,0.046
2014-01-11,43.9,34.9,38.4,11.0,9.5,31.8,0.025
2014-01-12,45.6,32.0,36.8,0.0,6.5,23.0,0.043
2014-01-13,58.4,31.9,42.3,0.0,4.8,21.5,0.063
2014-01-14,61.3,33.6,45.0,0.0,3.9,18.1,0.073
2014-01-15,63.1,40.6,48.3,0.0,5.0,20.4,0.085
2014-01-16,61.8,41.4,48.5,0.0,4.6,18.3,0.085
2014-01-17,58.7,38.9,47.5,0.0,2.9,10.7,0.067
2014-01-18,60.2,34.4,44.8,0.0,2.2,8.7,0.060
2014-01-19,56.4,34.9,43.2,0.0,2.8,9.8,0.059
2014-01-20,57.6,34.6,43.3,0.0,2.7,11.0,0.064
2014-01-21,57.9,32.5,42.9,0.0,3.2,11.2,0.064
2014-01-22,60.9,37.6,46.7,0.0,4.6,19.0,0.078
2014-01-23,53.6,38.6,44.3,0.0,9.1,33.3,0.090
2014-01-24,55.9,38.8,46.3,0.0,7.4,27.1,0.082
2014-01-25,60.0,33.4,45.4,0.0,4.2,15.0,0.069
2014-01-26,59.6,35.6,45.0,0.0,3.1,10.7,0.067
2014-01-27,50.5,38.1,43.2,5.0,3.1,8.1,0.029
