latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.964848,-120.16759,1741.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,45.7,26.2,35.1,0.0,4.5,12.5,0.051
2014-01-02,45.5,25.7,34.2,0.0,4.3,9.6,0.045
2014-01-03,53.2,24.3,35.3,0.0,5.3,13.9,0.055
2014-01-04,38.4,26.6,31.7,0.0,5.3,15.7,0.045
2014-01-05,39.3,21.7,29.6,0.0,5.8,17.7,0.054
2014-01-06,41.5,22.9,30.1,2.0,6.3,15.2,0.042
2014-01-07,47.7,21.1,31.9,1.0,7.7,19.2,0.051
2014-01-08,43.3,25.6,32.2,2.0,5.7,18.3,0.035
2014-01-09,42.6,27.3,33.1,0.0,10.1,27.5,0.036
2014-01-10,49.2,26.5,35.0,0.0,4.3,18.1,0.043
2014-01-11,40.8,28.6,34.4,6.0,14.4,43.6,0.029
2014-01-12,38.8,24.7,31.7,0.0,7.1,23.9,0.043
2014-01-13,46.6,24.4,34.6,0.0,3.6,9.6,0.050
2014-01-14,47.1,26.0,35.3,0.0,3.8,11.2,0.055
2014-01-15,47.3,25.6,36.2,0.0,4.4,12.5,0.058
2014-01-16,45.4,25.5,35.1,0.0,4.5,14.8,0.062
2014-01-17,47.6,26.1,36.6,0.0,5.5,11.6,0.062
2014-01-18,47.8,25.6,36.0,0.0,4.7,12.8,0.062
2014-01-19,50.6,24.4,35.9,0.0,3.8,10.7,0.057
2014-01-20,46.4,26.7,35.2,0.0,4.7,13.4,0.064
2014-01-21,48.2,23.0,34.8,0.0,5.6,11.0,0.058
2014-01-22,50.9,23.6,35.9,0.0,6.4,14.1,0.068
2014-01-23,41.2,23.3,32.4,0.0,11.2,32.4,0.062
2014-01-24,46.6,27.3,36.8,0.0,8.1,24.4,0.070
2014-01-25,48.1,30.0,38.3,0.0,3.8,13.2,0.065
2014-01-26,51.2,26.6,37.8,0.0,3.4,9.4,0.065
2014-01-27,53.0,28.4,38.5,0.0,3.0,8.1,0.059
2014-01-28,50.6,31.0,39.7,0.0,4.7,13.9,0.053
2014-01-29,49.3,33.1,39.5,13.0,14.6,39.8,0.026
2014-01-30,38.5,28.3,32.5,16.0,4.5,12.8,0.036
2014-01-31,31.7,19.8,26.9,3.0,6.8,18.8,0.044
2014-02-01,32.6,17.5,23.9,0.0,4.7,14.8,0.052
2014-02-02,31.2,10.2,21.8,0.0,4.7,11.2,0.041
2014-02-03,34.1,13.3,23.7,0.0,6.2,19.7,0.044
2014-02-04,34.3,16.7,24.3,0.0,4.7,13.6,0.048
2014-02-05,37.7,14.9,25.3,0.0,8.0,24.4,0.054
2014-02-06,35.6,23.0,29.0,7.0,9.5,30.4,0.032
2014-02-07,35.5,30.3,32.2,18.0,16.9,45.9,0.032
2014-02-08,38.1,34.9,36.6,21.0,12.8,43.0,0.021
2014-02-09,42.5,33.8,37.3,24.0,7.1,36.9,0.026
2014-02-10,44.6,27.8,35.7,9.0,4.3,24.8,0.051
2014-02-11,47.3,24.2,34.2,0.0,5.4,17.4,0.064
2014-02-12,51.3,30.1,38.0,0.0,12.1,36.7,0.077
2014-02-13,49.3,31.5,39.2,3.0,11.1,29.8,0.044
2014-02-14,53.5,33.8,42.1,0.0,13.0,39.1,0.069
2014-02-15,54.6,31.1,41.0,6.0,18.2,47.6,0.088
2014-02-16,46.5,25.7,36.8,5.0,10.3,38.5,0.072
2014-02-17,48.4,24.3,34.1,0.0,11.3,30.2,0.084
2014-02-18,51.1,24.7,35.8,0.0,10.1,25.9,0.068
2014-02-19,43.4,29.8,35.0,4.0,9.7,28.9,0.072
2014-02-20,46.7,28.4,36.4,0.0,3.9,9.6,0.080
2014-02-21,46.7,30.9,38.1,0.0,3.9,14.8,0.076
2014-02-22,49.5,30.6,39.2,0.0,3.4,10.3,0.088
2014-02-23,54.5,24.8,38.2,0.0,6.5,17.4,0.100
2014-02-24,55.7,27.5,40.3,0.0,4.3,8.5,0.095
2014-02-25,57.6,27.0,41.2,0.0,5.0,13.4,0.102
2014-02-26,47.7,29.3,37.9,9.0,9.9,40.7,0.048
2014-02-27,42.1,30.9,35.4,12.0,16.3,44.5,0.052
2014-02-28,44.0,30.5,35.0,17.0,9.1,27.7,0.045
2014-03-01,43.0,24.4,33.4,2.0,5.5,14.8,0.064
2014-03-02,41.6,28.9,35.6,6.0,10.8,30.2,0.040
2014-03-03,46.0,34.8,39.1,8.0,11.3,31.1,0.052
2014-03-04,50.3,32.5,39.7,2.0,4.5,14.3,0.072
2014-03-05,53.3,29.3,40.8,7.0,12.1,45.0,0.080
2014-03-06,46.0,32.5,39.5,7.0,15.1,43.8,0.080
2014-03-07,47.7,28.8,37.7,0.0,6.1,19.2,0.090
2014-03-08,58.7,31.5,43.3,0.0,6.0,15.9,0.110
2014-03-09,56.5,34.0,44.1,0.0,10.1,30.6,0.097
2014-03-10,44.9,30.8,38.8,10.0,12.5,35.3,0.084
2014-03-11,41.3,24.7,33.5,0.0,13.5,37.8,0.095
2014-03-12,47.2,26.0,37.4,0.0,10.3,29.5,0.109
2014-03-13,55.6,28.4,42.5,0.0,4.1,11.4,0.123
2014-03-14,54.0,26.4,41.5,2.0,9.0,25.1,0.111
2014-03-15,58.7,32.4,46.2,0.0,4.4,14.5,0.129
2014-03-16,63.3,28.7,46.0,0.0,12.4,35.3,0.155
2014-03-17,43.5,31.5,38.2,0.0,10.8,36.0,0.109
2014-03-18,44.1,25.4,34.9,0.0,9.4,26.4,0.117
2014-03-19,56.2,27.6,41.3,0.0,5.8,18.3,0.136
2014-03-20,56.3,25.8,42.2,0.0,4.7,14.3,0.131
2014-03-21,54.5,35.4,44.0,1.0,7.8,21.7,0.126
2014-03-22,51.5,32.6,42.3,0.0,6.3,19.5,0.129
2014-03-23,56.3,28.4,43.7,0.0,3.6,13.4,0.139
2014-03-24,62.4,32.3,46.4,0.0,6.9,20.6,0.162
2014-03-25,49.6,27.4,38.0,2.0,16.7,44.7,0.096
2014-03-26,40.8,29.5,34.4,11.0,14.0,44.1,0.069
2014-03-27,41.1,28.8,34.4,3.0,14.5,38.3,0.078
2014-03-28,48.2,30.6,38.8,0.0,13.6,38.5,0.082
2014-03-29,37.9,29.1,34.6,24.0,10.4,41.2,0.033
2014-03-30,38.2,24.6,30.4,7.0,8.1,25.3,0.086
2014-03-31,35.7,21.0,28.8,15.0,9.4,36.9,0.061
2014-04-01,32.9,18.5,26.5,5.0,9.4,34.2,0.068
2014-04-02,38.1,12.2,27.3,1.0,6.5,17.9,0.085
2014-04-03,41.2,12.6,28.7,0.0,6.1,19.0,0.093
2014-04-04,40.1,24.8,31.6,9.0,6.9,18.8,0.087
