latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.667835,-120.97734,1705.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,48.6,29.0,36.3,0.0,5.8,15.4,0.055
2014-01-02,51.0,28.1,36.2,0.0,5.6,10.1,0.050
2014-01-03,52.0,31.8,39.1,0.0,4.8,15.7,0.050
2014-01-04,43.2,24.9,32.8,0.0,5.9,18.6,0.054
2014-01-05,41.6,25.3,31.0,0.0,8.8,24.4,0.071
2014-01-06,44.2,25.4,31.7,2.0,7.3,17.2,0.057
2014-01-07,46.9,25.5,33.6,0.0,6.7,20.6,0.048
2014-01-08,43.5,27.9,33.4,1.0,7.3,21.0,0.037
2014-01-09,38.7,30.7,33.4,0.0,8.8,23.3,0.025
2014-01-10,48.2,27.0,35.8,0.0,5.5,15.7,0.040
2014-01-11,37.6,28.0,34.5,11.0,14.1,44.3,0.023
2014-01-12,39.5,26.5,30.8,0.0,7.4,18.6,0.038
2014-01-13,50.3,26.9,35.7,0.0,4.7,10.5,0.052
2014-01-14,53.2,27.4,36.8,0.0,5.2,11.4,0.063
2014-01-15,53.2,27.7,36.4,0.0,5.2,12.3,0.069
2014-01-16,50.9,26.9,35.3,0.0,6.3,16.3,0.074
2014-01-17,50.5,28.7,36.0,0.0,6.2,15.4,0.074
2014-01-18,51.1,28.2,35.8,0.0,6.0,15.4,0.070
2014-01-19,52.4,28.9,36.7,0.0,6.0,12.1,0.060
2014-01-20,50.3,27.9,35.6,0.0,6.6,16.3,0.069
2014-01-21,52.0,27.3,37.6,0.0,6.6,13.2,0.066
2014-01-22,50.8,30.0,38.7,0.0,5.8,17.4,0.067
2014-01-23,43.0,29.4,34.5,0.0,13.5,35.8,0.073
2014-01-24,46.9,32.1,37.7,0.0,12.2,32.0,0.081
2014-01-25,52.0,29.0,37.7,0.0,5.6,13.0,0.071
2014-01-26,54.3,29.9,39.9,0.0,4.8,10.3,0.068
2014-01-27,52.1,34.7,40.6,0.0,2.3,8.7,0.046
2014-01-28,49.6,34.0,40.6,2.0,5.0,15.9,0.044
2014-01-29,44.6,32.7,39.2,8.0,10.9,32.9,0.010
2014-01-30,39.5,28.4,32.2,9.0,6.2,16.6,0.040
2014-01-31,32.1,17.0,25.4,1.0,7.4,20.1,0.043
2014-02-01,36.5,21.7,26.8,0.0,5.7,16.3,0.055
2014-02-02,37.7,16.3,26.3,0.0,6.4,17.7,0.053
2014-02-03,34.1,19.4,26.1,1.0,7.8,21.3,0.043
2014-02-04,35.7,17.7,25.8,0.0,5.4,14.5,0.051
2014-02-05,38.9,18.7,27.5,0.0,8.5,23.5,0.057
2014-02-06,35.3,24.9,29.7,7.0,11.0,29.3,0.028
2014-02-07,33.9,30.4,31.7,19.0,17.7,44.5,0.025
2014-02-08,38.8,34.2,36.6,11.0,15.4,42.1,0.013
2014-02-09,43.3,34.1,38.3,18.0,8.7,28.9,0.022
2014-02-10,43.2,25.6,34.6,5.0,3.6,17.4,0.059
2014-02-11,43.9,24.4,33.3,2.0,4.9,16.6,0.053
2014-02-12,47.7,32.6,38.8,1.0,13.5,35.3,0.067
2014-02-13,45.7,35.6,40.2,16.0,8.3,23.7,0.028
2014-02-14,49.6,38.9,43.7,0.0,13.7,36.5,0.044
2014-02-15,49.4,34.8,41.0,7.0,17.8,43.0,0.054
2014-02-16,43.1,27.9,34.6,5.0,12.2,34.7,0.064
2014-02-17,46.2,28.2,35.2,0.0,11.4,30.0,0.079
2014-02-18,49.2,28.0,37.2,0.0,11.9,30.9,0.076
2014-02-19,39.7,26.9,33.1,8.0,12.1,31.8,0.067
2014-02-20,47.4,26.5,35.1,0.0,4.5,15.2,0.079
2014-02-21,47.4,28.0,36.2,0.0,5.0,13.6,0.073
2014-02-22,50.5,29.4,38.4,0.0,4.5,10.5,0.088
2014-02-23,53.3,28.6,39.0,0.0,7.0,18.8,0.095
2014-02-24,57.7,30.8,42.4,0.0,5.2,11.4,0.096
2014-02-25,56.5,31.3,42.6,0.0,8.0,20.8,0.101
2014-02-26,45.1,34.6,38.1,12.0,10.1,41.2,0.031
2014-02-27,39.6,31.6,35.0,14.0,14.4,39.4,0.039
2014-02-28,41.8,30.1,34.4,17.0,12.9,38.9,0.039
2014-03-01,42.2,31.6,35.9,10.0,8.9,21.9,0.054
2014-03-02,41.1,35.0,37.4,9.0,14.0,33.1,0.031
2014-03-03,41.6,33.9,37.2,16.0,11.4,29.8,0.034
2014-03-04,46.5,32.0,37.5,4.0,5.1,13.4,0.061
2014-03-05,48.3,29.9,39.0,7.0,14.2,47.6,0.051
2014-03-06,42.4,31.0,37.2,13.0,13.8,42.3,0.053
2014-03-07,49.5,29.2,37.6,0.0,5.4,16.6,0.095
2014-03-08,57.5,31.1,43.0,0.0,6.5,18.6,0.106
2014-03-09,47.9,36.4,41.0,19.0,11.3,31.1,0.034
2014-03-10,40.0,25.8,35.3,12.0,11.5,32.7,0.067
2014-03-11,39.6,21.7,30.9,0.0,13.9,36.2,0.087
2014-03-12,48.8,25.3,36.9,0.0,9.8,26.8,0.108
2014-03-13,56.4,26.8,40.9,0.0,6.5,17.4,0.122
2014-03-14,52.9,30.6,41.2,1.0,8.1,24.4,0.104
2014-03-15,59.9,29.7,44.5,0.0,5.6,16.8,0.125
2014-03-16,61.1,33.2,46.3,0.0,13.1,32.9,0.146
2014-03-17,42.1,30.0,36.0,1.0,12.6,32.7,0.099
2014-03-18,44.9,26.2,34.8,0.0,9.4,25.9,0.109
2014-03-19,54.8,28.0,40.5,0.0,7.2,19.2,0.131
2014-03-20,55.5,31.0,42.3,0.0,7.1,18.1,0.131
2014-03-21,54.4,31.1,42.1,0.0,8.9,23.5,0.130
2014-03-22,52.5,28.9,40.7,0.0,8.0,22.6,0.125
2014-03-23,57.2,31.4,44.6,0.0,4.7,14.1,0.136
2014-03-24,61.3,32.6,46.9,0.0,8.2,22.4,0.156
2014-03-25,44.6,33.4,37.9,14.0,12.0,32.7,0.067
2014-03-26,39.9,30.2,33.9,23.0,11.1,34.2,0.062
2014-03-27,37.9,28.9,33.3,9.0,13.9,34.0,0.066
2014-03-28,41.5,33.7,36.9,14.0,14.5,36.9,0.036
2014-03-29,37.4,30.4,34.5,24.0,9.3,32.9,0.032
2014-03-30,37.9,25.3,31.3,13.0,8.9,24.8,0.080
2014-03-31,33.6,26.6,29.9,14.0,11.9,37.1,0.050
2014-04-01,34.3,23.9,28.9,10.0,6.9,27.5,0.067
2014-04-02,39.7,19.7,30.3,3.0,6.6,18.6,0.086
2014-04-03,40.6,15.6,30.5,2.0,8.2,22.6,0.080
2014-04-04,40.5,25.9,32.2,15.0,5.2,19.7,0.085
2014-04-05,45.0,27.2,35.6,0.0,6.7,16.8,0.097
2014-04-06,49.3,33.0,41.1,0.0,7.2,19.9,0.114
2014-04-07,60.6,28.1,44.1,0.0,7.4,20.1,0.143
2014-04-08,63.1,34.5,48.2,0.0,8.7,23.7,0.159
2014-04-09,62.4,34.6,48.4,0.0,9.1,25.9,0.159
2014-04-10,65.7,34.4,50.5,0.0,5.4,15.7,0.171
2014-04-11,67.4,40.4,53.3,0.0,6.1,17.4,0.177
2014-04-12,64.6,41.1,51.9,1.0,11.4,28.6,0.178
2014-04-13,58.1,33.4,46.4,0.0,8.1,23.0,0.165
2014-04-14,65.8,36.2,50.1,0.0,8.1,21.9,0.190
2014-04-15,61.3,36.8,49.6,0.0,8.3,23.9,0.164
2014-04-16,61.6,35.9,49.0,0.0,6.1,19.0,0.164
2014-04-17,64.3,38.7,51.3,6.0,13.5,36.5,0.165
2014-04-18,63.2,35.1,47.8,3.0,6.6,19.7,0.165
2014-04-19,61.5,36.0,48.7,0.0,13.2,35.6,0.177
2014-04-20,63.6,34.7,49.7,0.0,3.9,13.9,0.168
2014-04-21,59.5,37.9,49.0,1.0,15.0,35.1,0.167
2014-04-22,43.2,32.5,37.7,14.0,12.3,31.1,0.098
2014-04-23,52.9,27.9,40.4,0.0,9.6,29.1,0.135
2014-04-24,51.7,34.8,42.6,11.0,16.0,43.4,0.121
2014-04-25,39.0,29.6,34.7,23.0,7.0,29.3,0.062
2014-04-26,43.3,24.8,34.8,0.0,12.4,31.1,0.108
2014-04-27,45.1,32.1,37.4,5.0,13.5,35.3,0.096
