latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.722317,-120.347336,2079.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,43.1,18.5,28.0,0.0,4.2,10.7,0.040
2014-01-02,43.6,18.2,29.2,0.0,3.6,8.7,0.039
2014-01-03,41.6,24.2,30.9,0.0,6.3,21.5,0.041
2014-01-04,34.2,13.4,21.7,0.0,5.5,16.8,0.037
2014-01-05,37.7,12.5,22.5,0.0,4.3,11.4,0.043
2014-01-06,40.2,17.2,27.0,0.0,6.6,18.3,0.047
2014-01-07,39.9,22.7,28.9,0.0,5.5,20.8,0.039
2014-01-08,36.2,22.7,27.7,0.0,6.3,21.5,0.028
2014-01-09,29.9,24.2,26.9,6.0,9.9,26.6,0.020
2014-01-10,37.7,21.9,28.9,0.0,6.0,23.0,0.029
2014-01-11,34.0,21.5,28.6,12.0,15.8,52.6,0.022
2014-01-12,28.0,16.9,23.0,0.0,10.0,28.9,0.022
2014-01-13,36.8,19.2,26.8,0.0,3.4,11.2,0.036
2014-01-14,44.1,14.8,27.3,0.0,2.5,8.3,0.044
2014-01-15,46.5,15.2,27.6,0.0,2.0,7.6,0.045
2014-01-16,46.7,15.0,27.1,0.0,3.2,8.5,0.049
2014-01-17,47.5,18.8,29.4,0.0,3.3,10.3,0.054
2014-01-18,47.5,17.4,28.9,0.0,4.4,12.5,0.057
2014-01-19,46.4,21.6,31.8,0.0,4.5,12.1,0.053
2014-01-20,45.8,16.4,28.1,0.0,3.7,11.2,0.053
2014-01-21,46.1,18.5,30.5,0.0,3.7,10.5,0.053
2014-01-22,42.0,20.5,29.9,0.0,6.7,19.2,0.053
2014-01-23,37.6,18.0,25.8,0.0,11.4,31.8,0.048
2014-01-24,43.0,18.8,28.0,0.0,7.2,21.3,0.054
2014-01-25,47.9,19.5,30.7,0.0,2.8,8.5,0.054
2014-01-26,47.5,19.8,33.1,0.0,3.2,10.5,0.057
2014-01-27,42.9,27.8,33.8,0.0,3.3,10.5,0.040
2014-01-28,41.1,24.1,32.4,5.0,3.9,13.0,0.037
2014-01-29,36.4,25.1,32.0,10.0,6.5,32.7,0.009
2014-01-30,32.7,23.1,26.1,5.0,5.8,15.0,0.035
2014-01-31,26.7,15.6,21.2,0.0,7.5,19.0,0.035
2014-02-01,30.8,16.1,22.0,0.0,5.8,15.7,0.049
2014-02-02,32.4,16.1,22.5,0.0,6.0,16.6,0.051
2014-02-03,26.9,15.2,20.0,2.0,10.1,27.7,0.038
2014-02-04,26.0,12.5,18.3,0.0,9.0,22.4,0.039
2014-02-05,29.8,12.0,20.3,0.0,8.3,22.8,0.045
2014-02-06,31.4,17.0,23.4,7.0,8.8,24.4,0.032
2014-02-07,29.4,24.1,26.1,22.0,14.4,42.5,0.023
2014-02-08,32.7,29.1,30.4,11.0,13.7,42.1,0.015
2014-02-09,33.6,28.0,30.5,16.0,7.1,32.2,0.024
2014-02-10,32.4,19.8,27.6,3.0,3.7,11.2,0.044
2014-02-11,32.8,16.3,25.1,1.0,5.6,21.0,0.042
2014-02-12,36.4,29.4,32.1,12.0,7.2,40.3,0.035
2014-02-13,38.0,31.0,33.5,9.0,6.8,22.6,0.031
2014-02-14,41.3,32.8,36.5,7.0,9.8,33.1,0.032
2014-02-15,48.1,31.2,36.8,1.0,17.0,49.7,0.071
2014-02-16,34.5,21.5,27.3,7.0,11.1,38.5,0.048
2014-02-17,39.1,20.7,28.8,0.0,11.7,33.3,0.067
2014-02-18,42.7,23.3,32.0,0.0,12.5,35.1,0.068
2014-02-19,30.0,17.4,22.7,6.0,11.6,38.7,0.041
2014-02-20,36.1,18.2,26.2,0.0,6.7,19.0,0.060
2014-02-21,36.4,19.4,28.0,0.0,3.7,11.6,0.059
2014-02-22,40.2,20.1,30.0,0.0,5.0,16.1,0.071
2014-02-23,45.4,20.0,32.1,0.0,6.8,19.0,0.081
2014-02-24,49.5,23.2,36.0,0.0,3.4,10.5,0.082
2014-02-25,51.7,22.4,37.1,0.0,7.8,18.8,0.092
2014-02-26,44.7,25.3,33.9,8.0,8.8,26.6,0.051
2014-02-27,33.9,24.6,29.8,14.0,9.7,32.4,0.038
2014-02-28,39.5,18.5,28.9,8.0,12.0,28.0,0.036
2014-03-01,38.2,26.9,30.7,8.0,8.4,21.9,0.049
2014-03-02,37.2,27.3,32.3,6.0,13.3,34.4,0.033
2014-03-03,39.4,29.3,33.2,12.0,10.1,30.4,0.034
2014-03-04,41.6,27.8,32.9,6.0,6.1,15.2,0.058
2014-03-05,44.1,26.6,35.4,6.0,13.3,49.4,0.048
2014-03-06,38.2,25.8,32.0,13.0,12.7,44.7,0.048
2014-03-07,42.0,23.3,31.0,0.0,4.4,12.3,0.082
