latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.933216,-120.74127,1605.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,48.5,24.9,34.2,0.0,4.5,9.4,0.044
2014-01-02,47.7,27.0,35.4,0.0,4.7,8.5,0.040
2014-01-03,46.1,26.8,36.1,0.0,8.9,21.0,0.041
2014-01-04,41.3,19.2,27.8,0.0,7.1,13.9,0.045
2014-01-05,44.1,19.1,28.8,0.0,6.6,16.1,0.055
2014-01-06,43.9,23.8,32.7,0.0,5.4,12.8,0.051
2014-01-07,44.8,30.3,35.3,3.0,8.9,20.4,0.047
2014-01-08,41.2,29.9,33.7,3.0,13.0,26.6,0.031
2014-01-09,34.8,29.3,32.6,19.0,12.9,26.8,0.020
2014-01-10,42.2,28.3,34.6,0.0,8.7,18.1,0.030
2014-01-11,36.9,27.0,33.7,13.0,18.3,48.1,0.025
2014-01-12,33.3,24.1,29.0,2.0,12.9,28.0,0.021
2014-01-13,41.9,20.3,29.5,0.0,4.5,7.8,0.038
2014-01-14,46.9,17.0,28.1,0.0,5.2,7.4,0.046
2014-01-15,50.9,18.7,30.3,0.0,4.8,8.5,0.053
2014-01-16,50.7,18.2,31.1,0.0,4.8,9.6,0.057
2014-01-17,53.2,23.5,34.2,0.0,4.4,8.9,0.059
2014-01-18,53.1,22.1,34.7,0.0,5.2,8.3,0.061
2014-01-19,49.5,28.1,37.0,0.0,6.0,10.1,0.056
2014-01-20,52.2,22.8,34.7,0.0,5.9,12.3,0.063
2014-01-21,49.5,27.3,34.9,0.0,5.5,10.1,0.061
2014-01-22,48.0,25.0,33.5,0.0,7.1,15.9,0.059
2014-01-23,42.7,25.6,32.6,0.0,13.5,31.1,0.058
2014-01-24,48.8,26.6,35.2,0.0,10.0,22.8,0.069
2014-01-25,53.2,26.6,36.4,0.0,6.0,8.7,0.063
2014-01-26,52.1,25.3,36.8,0.0,3.4,8.7,0.058
2014-01-27,46.6,30.7,37.3,0.0,4.2,8.3,0.039
2014-01-28,44.7,30.6,37.3,7.0,6.1,13.0,0.032
2014-01-29,40.7,31.5,37.5,16.0,15.7,29.3,0.010
2014-01-30,37.8,28.0,31.9,0.0,7.9,15.4,0.037
2014-01-31,32.7,22.0,26.8,2.0,7.7,19.0,0.041
2014-02-01,36.1,20.0,26.9,0.0,6.2,16.6,0.054
2014-02-02,38.3,21.9,28.7,0.0,7.2,17.9,0.062
2014-02-03,33.2,21.4,26.1,4.0,11.4,26.4,0.047
2014-02-04,32.7,18.5,24.6,0.0,9.2,20.8,0.045
2014-02-05,35.5,19.7,26.5,0.0,8.3,20.4,0.050
2014-02-06,35.1,23.2,28.5,16.0,15.7,30.4,0.033
2014-02-07,33.6,28.5,30.7,24.0,19.3,43.4,0.020
2014-02-08,37.6,33.7,35.4,23.0,18.5,39.6,0.013
2014-02-09,40.1,34.5,36.7,18.0,8.5,19.2,0.027
2014-02-10,41.6,28.8,35.4,0.0,6.5,15.0,0.044
2014-02-11,41.3,27.8,34.5,5.0,12.2,24.8,0.044
2014-02-12,39.4,35.7,37.0,21.0,14.4,29.8,0.018
2014-02-13,45.1,37.1,40.0,16.0,12.5,25.9,0.034
2014-02-14,43.2,39.9,41.6,24.0,13.5,29.8,0.010
2014-02-15,51.4,35.5,42.2,10.0,24.2,50.6,0.063
