latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.175747,-121.683014,1145.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,61.1,37.4,46.1,0.0,8.6,17.4,0.073
2014-01-02,59.5,35.2,44.2,0.0,8.7,14.1,0.061
2014-01-03,59.2,37.2,46.5,0.0,7.0,13.9,0.062
2014-01-04,57.0,33.0,42.0,0.0,11.4,29.1,0.092
2014-01-05,57.1,37.2,43.3,0.0,11.5,27.7,0.113
2014-01-06,53.2,35.6,42.1,1.0,9.9,21.3,0.065
2014-01-07,51.7,36.0,41.9,0.0,6.1,17.4,0.053
2014-01-08,47.9,31.3,39.1,0.0,5.1,14.8,0.040
2014-01-09,45.3,34.9,39.1,0.0,4.6,15.2,0.031
2014-01-10,52.3,30.9,40.7,0.0,4.5,11.0,0.045
2014-01-11,42.8,32.2,39.7,13.0,11.8,34.2,0.018
2014-01-12,47.5,27.6,36.0,0.0,9.2,23.3,0.053
2014-01-13,60.8,35.6,43.9,0.0,10.4,24.4,0.088
2014-01-14,65.9,36.6,47.1,0.0,11.0,25.1,0.114
2014-01-15,67.7,40.8,49.5,0.0,11.3,25.5,0.132
2014-01-16,66.0,39.7,48.9,0.0,11.8,24.8,0.133
2014-01-17,62.9,39.2,47.6,0.0,10.4,21.7,0.099
2014-01-18,63.1,35.8,46.4,0.0,9.0,16.3,0.087
2014-01-19,59.7,34.7,44.2,0.0,8.5,14.8,0.073
2014-01-20,61.1,32.6,43.4,0.0,8.1,18.6,0.084
2014-01-21,59.2,33.8,43.6,0.0,8.6,17.4,0.087
2014-01-22,64.0,36.7,46.7,0.0,9.5,23.7,0.113
2014-01-23,54.3,39.4,45.3,0.0,13.7,38.9,0.129
2014-01-24,61.9,40.9,48.6,0.0,11.6,34.0,0.105
2014-01-25,63.6,39.2,48.2,0.0,8.1,17.4,0.100
2014-01-26,61.1,36.2,46.8,0.0,7.9,15.4,0.087
2014-01-27,57.4,36.8,46.1,0.0,6.2,11.6,0.048
2014-01-28,54.9,42.0,48.1,2.0,4.3,12.1,0.041
2014-01-29,48.3,40.3,45.0,17.0,10.6,27.7,0.010
2014-01-30,48.6,35.1,40.7,8.0,5.8,19.0,0.052
2014-01-31,44.3,29.0,35.9,0.0,7.8,22.6,0.067
2014-02-01,44.6,27.9,35.0,0.0,6.6,16.1,0.073
2014-02-02,40.6,28.9,34.1,0.0,7.0,21.5,0.053
2014-02-03,40.1,25.5,32.0,0.0,5.6,17.7,0.046
2014-02-04,40.9,25.0,31.6,0.0,5.6,15.9,0.055
2014-02-05,41.5,25.8,32.7,0.0,5.7,17.9,0.055
2014-02-06,34.9,31.2,32.7,24.0,10.2,25.9,0.015
2014-02-07,35.7,32.4,34.5,24.0,17.4,45.4,0.007
2014-02-08,43.6,36.0,40.2,24.0,14.3,36.5,0.007
2014-02-09,46.5,43.2,44.6,22.0,14.2,35.8,0.014
2014-02-10,53.3,39.5,45.1,7.0,5.8,19.5,0.071
2014-02-11,52.4,32.5,42.6,0.0,4.7,13.9,0.063
2014-02-12,53.8,40.3,45.8,1.0,10.3,28.4,0.091
2014-02-13,50.7,41.8,46.0,19.0,6.7,18.6,0.023
2014-02-14,53.1,46.2,48.6,0.0,11.5,30.4,0.038
2014-02-15,49.4,41.1,45.7,7.0,16.7,40.5,0.028
2014-02-16,47.8,33.5,40.7,7.0,12.9,32.2,0.065
2014-02-17,50.5,32.3,40.8,0.0,6.2,18.6,0.081
2014-02-18,53.7,31.3,41.6,0.0,9.0,22.8,0.071
2014-02-19,48.4,34.0,40.7,5.0,8.0,22.8,0.082
2014-02-20,55.8,33.3,42.9,0.0,7.8,18.3,0.100
2014-02-21,56.5,35.5,44.1,0.0,7.0,18.8,0.092
2014-02-22,59.1,34.0,44.8,0.0,7.4,17.7,0.099
2014-02-23,58.0,33.3,45.7,0.0,5.3,16.1,0.100
2014-02-24,60.9,35.2,47.6,0.0,6.3,15.7,0.101
2014-02-25,61.9,34.2,48.0,0.0,6.8,21.7,0.107
2014-02-26,47.5,41.9,43.7,15.0,10.3,48.8,0.027
2014-02-27,43.1,37.6,40.3,17.0,15.8,38.3,0.016
2014-02-28,43.6,36.0,39.4,18.0,8.2,33.3,0.022
2014-03-01,47.0,37.2,41.5,16.0,9.7,27.1,0.047
2014-03-02,43.8,40.0,42.4,15.0,14.3,30.9,0.014
2014-03-03,43.2,39.4,41.0,20.0,11.4,29.8,0.012
2014-03-04,53.9,39.4,44.6,5.0,5.8,16.1,0.067
2014-03-05,52.2,40.3,45.7,13.0,14.8,44.5,0.042
2014-03-06,48.4,35.6,42.9,17.0,11.5,36.5,0.043
2014-03-07,59.5,31.7,44.2,0.0,8.5,19.0,0.115
2014-03-08,61.1,37.2,48.9,1.0,8.9,19.5,0.123
2014-03-09,49.1,43.0,45.7,24.0,9.7,27.1,0.018
2014-03-10,50.7,36.8,44.1,7.0,10.7,29.1,0.101
2014-03-11,53.2,32.9,41.8,0.0,10.2,33.1,0.133
2014-03-12,60.7,35.4,46.2,0.0,10.0,25.9,0.148
2014-03-13,62.3,34.1,48.9,0.0,7.1,19.2,0.141
2014-03-14,61.2,39.6,49.4,0.0,7.6,20.6,0.123
2014-03-15,66.7,39.6,52.9,0.0,8.1,17.4,0.148
2014-03-16,64.8,40.4,53.2,0.0,9.7,26.2,0.151
2014-03-17,55.5,38.0,45.7,1.0,8.7,25.1,0.129
2014-03-18,58.8,35.9,46.0,0.0,9.4,28.4,0.157
2014-03-19,59.2,34.9,47.3,0.0,8.8,18.8,0.142
2014-03-20,60.6,38.4,48.8,0.0,6.3,18.6,0.137
2014-03-21,61.3,38.3,49.3,0.0,7.8,22.4,0.144
2014-03-22,61.9,36.5,48.9,0.0,7.9,19.7,0.150
2014-03-23,63.4,38.9,50.6,0.0,6.5,20.6,0.150
2014-03-24,65.6,36.6,51.7,0.0,7.6,20.8,0.169
2014-03-25,48.3,38.9,43.9,15.0,10.2,26.4,0.058
2014-03-26,40.1,36.0,37.8,24.0,10.8,25.3,0.025
2014-03-27,47.1,34.6,39.9,21.0,9.0,23.7,0.057
2014-03-28,44.2,39.3,41.7,23.0,14.7,42.5,0.022
2014-03-29,44.9,35.9,41.6,24.0,14.6,43.2,0.020
2014-03-30,45.6,33.1,38.4,16.0,8.4,24.8,0.073
2014-03-31,39.7,28.6,34.7,13.0,13.3,41.6,0.037
2014-04-01,38.9,30.4,33.5,23.0,9.5,25.1,0.048
2014-04-02,48.3,24.2,35.7,0.0,5.7,19.5,0.098
2014-04-03,48.7,26.8,39.0,3.0,9.4,29.5,0.083
2014-04-04,48.1,36.4,41.2,12.0,5.4,22.1,0.079
2014-04-05,55.8,31.9,44.8,0.0,8.8,23.7,0.125
2014-04-06,66.4,37.7,51.9,0.0,7.7,20.1,0.165
2014-04-07,69.1,41.9,55.7,0.0,8.4,18.6,0.180
2014-04-08,68.8,41.2,56.3,0.0,7.9,23.3,0.172
2014-04-09,67.6,45.5,57.9,0.0,8.1,22.4,0.171
2014-04-10,70.5,41.6,56.8,0.0,5.7,17.9,0.180
2014-04-11,71.2,41.6,57.4,0.0,6.2,19.7,0.186
2014-04-12,68.4,43.9,57.3,0.0,7.4,22.6,0.174
2014-04-13,70.3,42.8,56.4,0.0,8.8,20.1,0.195
2014-04-14,69.9,42.7,57.2,0.0,9.1,21.3,0.213
2014-04-15,67.1,45.7,57.3,0.0,7.2,22.8,0.181
2014-04-16,70.7,43.8,57.8,0.0,8.0,25.7,0.195
2014-04-17,69.5,45.2,56.4,6.0,11.3,31.3,0.176
2014-04-18,68.2,43.1,56.7,1.0,8.4,25.7,0.186
2014-04-19,65.5,44.9,55.2,0.0,9.8,28.4,0.186
2014-04-20,70.9,41.5,57.2,0.0,7.9,23.0,0.197
2014-04-21,65.6,46.1,56.2,0.0,13.5,36.9,0.172
2014-04-22,50.5,37.6,43.8,12.0,11.7,30.0,0.125
2014-04-23,56.4,32.7,46.0,0.0,6.5,21.9,0.137
2014-04-24,58.8,41.3,49.4,8.0,10.9,33.1,0.129
2014-04-25,44.7,35.0,40.2,20.0,5.2,19.9,0.053
2014-04-26,49.8,30.7,41.3,0.0,9.0,25.5,0.127
2014-04-27,49.6,36.9,43.0,4.0,8.6,23.9,0.089
2014-04-28,61.6,34.0,48.9,0.0,6.9,19.9,0.175
2014-04-29,74.2,42.9,58.8,0.0,10.8,26.4,0.241
2014-04-30,79.1,52.7,64.4,0.0,11.0,27.1,0.260
2014-05-01,76.9,50.6,64.7,0.0,7.8,21.9,0.243
2014-05-02,74.9,47.6,62.8,0.0,10.6,28.2,0.244
2014-05-03,65.7,50.1,57.5,0.0,11.0,31.5,0.214
2014-05-04,61.0,43.0,52.7,0.0,11.1,30.9,0.156
2014-05-05,55.5,43.0,48.7,6.0,9.0,28.6,0.135
2014-05-06,63.6,38.6,51.1,2.0,9.9,28.2,0.188
2014-05-07,63.0,39.4,52.7,0.0,8.3,25.9,0.196
2014-05-08,56.3,46.4,50.8,7.0,13.3,33.1,0.093
2014-05-09,60.6,43.8,50.4,8.0,9.6,30.2,0.153
2014-05-10,55.2,35.2,46.3,3.0,11.7,31.8,0.161
2014-05-11,68.2,37.3,53.3,0.0,8.0,20.8,0.221
2014-05-12,73.5,45.2,59.7,0.0,8.0,18.1,0.225
2014-05-13,79.5,49.2,64.8,0.0,8.8,21.3,0.249
2014-05-14,82.6,50.3,68.3,0.0,7.6,20.1,0.259
2014-05-15,79.9,51.6,68.1,0.0,8.8,24.8,0.243
2014-05-16,78.1,56.4,67.4,0.0,7.8,23.9,0.259
2014-05-17,72.7,51.0,62.7,0.0,9.4,25.5,0.235
2014-05-18,64.4,46.6,55.4,0.0,9.8,27.7,0.195
2014-05-19,61.3,42.4,50.7,8.0,8.7,26.8,0.144
2014-05-20,63.3,39.4,52.1,5.0,6.5,23.9,0.133
2014-05-21,72.7,43.3,59.9,1.0,6.8,21.0,0.196
2014-05-22,78.5,46.2,64.2,0.0,6.6,17.4,0.222
2014-05-23,78.2,53.6,66.5,0.0,10.1,26.6,0.222
2014-05-24,80.6,52.4,68.3,0.0,8.1,24.6,0.254
2014-05-25,82.1,53.7,69.7,0.0,8.7,23.9,0.262
2014-05-26,77.8,53.7,67.7,0.0,7.7,24.4,0.248
2014-05-27,74.2,53.7,64.1,0.0,9.5,27.5,0.253
2014-05-28,67.2,42.0,56.1,0.0,9.7,28.0,0.241
2014-05-29,75.2,45.6,61.8,0.0,8.6,23.0,0.266
2014-05-30,73.7,47.2,62.3,0.0,9.0,27.3,0.258
2014-05-31,76.2,44.8,63.2,0.0,7.9,24.4,0.261
2014-06-01,79.9,49.1,67.2,0.0,7.9,24.4,0.272
2014-06-02,78.2,50.4,66.6,0.0,9.5,28.2,0.280
2014-06-03,77.6,50.4,66.1,0.0,7.6,23.9,0.249
2014-06-04,85.3,51.1,70.5,0.0,8.7,25.9,0.268
2014-06-05,88.3,53.1,73.6,0.0,9.0,25.3,0.302
2014-06-06,87.8,57.9,74.7,0.0,8.5,26.2,0.287
2014-06-07,90.0,55.1,75.6,0.0,9.7,29.1,0.318
2014-06-08,92.0,62.1,77.6,0.0,9.2,24.8,0.313
2014-06-09,90.7,59.1,77.6,0.0,8.3,25.5,0.302
2014-06-10,90.8,59.7,76.7,0.0,9.6,29.1,0.335
2014-06-11,85.0,58.6,72.9,0.0,9.8,28.6,0.311
2014-06-12,75.8,58.3,66.7,0.0,10.5,30.9,0.273
2014-06-13,72.3,48.9,62.6,0.0,11.2,30.2,0.266
2014-06-14,76.4,50.0,64.8,0.0,8.3,25.7,0.242
