latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,43.7,23.2,32.0,0.0,6.7,15.7,0.051
2014-01-02,46.7,23.7,32.4,0.0,6.7,12.1,0.048
2014-01-03,44.6,23.7,32.8,0.0,6.6,21.0,0.047
2014-01-04,37.9,16.3,25.7,0.0,5.2,16.8,0.045
2014-01-05,39.0,16.8,25.4,0.0,6.1,15.9,0.055
2014-01-06,40.2,21.7,29.2,0.0,7.9,20.8,0.056
2014-01-07,40.8,23.3,29.6,0.0,6.1,22.6,0.046
2014-01-08,37.0,23.7,28.6,1.0,6.3,19.7,0.031
2014-01-09,31.7,25.0,28.0,11.0,8.1,25.1,0.022
2014-01-10,40.9,25.5,31.2,0.0,6.0,22.8,0.033
2014-01-11,36.0,22.5,30.0,13.0,14.8,53.2,0.023
2014-01-12,31.3,19.8,24.6,0.0,8.2,23.9,0.028
2014-01-13,43.3,22.8,30.7,0.0,5.0,13.6,0.047
2014-01-14,48.5,22.8,34.6,0.0,5.7,11.0,0.059
2014-01-15,50.0,25.5,35.8,0.0,4.6,9.4,0.064
2014-01-16,47.6,23.4,33.2,0.0,5.9,12.8,0.072
2014-01-17,48.1,24.3,32.9,0.0,7.0,16.1,0.080
2014-01-18,47.6,23.5,32.9,0.0,8.5,19.2,0.081
2014-01-19,47.6,24.2,33.9,0.0,7.6,14.8,0.064
2014-01-20,45.9,22.9,32.9,0.0,6.8,17.9,0.071
2014-01-21,47.7,23.8,34.1,0.0,7.4,15.7,0.067
2014-01-22,44.9,22.3,33.7,0.0,6.7,21.5,0.064
2014-01-23,38.5,20.3,27.3,0.0,11.2,29.5,0.051
2014-01-24,42.7,22.0,30.5,0.0,8.5,26.2,0.064
2014-01-25,49.1,26.4,35.7,0.0,5.9,12.1,0.071
2014-01-26,49.5,30.7,37.7,0.0,4.3,10.7,0.071
2014-01-27,46.3,33.3,37.1,0.0,3.6,13.0,0.050
2014-01-28,43.5,28.5,35.4,6.0,4.5,14.3,0.041
2014-01-29,39.3,27.4,34.6,14.0,6.5,29.8,0.009
2014-01-30,34.4,23.7,27.2,4.0,5.7,17.2,0.038
2014-01-31,27.2,18.2,22.2,0.0,7.8,22.4,0.038
2014-02-01,30.5,17.9,22.5,0.0,6.0,18.6,0.051
2014-02-02,32.3,17.0,22.7,0.0,6.1,18.6,0.053
2014-02-03,27.1,16.2,20.5,2.0,9.6,30.0,0.039
2014-02-04,26.8,11.4,18.9,0.0,7.6,22.4,0.042
2014-02-05,31.8,13.5,21.6,0.0,8.7,26.6,0.051
2014-02-06,32.4,18.3,24.7,12.0,8.4,24.4,0.033
2014-02-07,30.0,24.8,26.7,22.0,13.6,43.4,0.022
2014-02-08,33.9,30.1,31.6,10.0,12.5,42.5,0.014
2014-02-09,35.4,28.9,31.4,18.0,4.3,33.1,0.025
2014-02-10,31.8,18.3,26.2,4.0,3.8,12.8,0.044
2014-02-11,32.1,12.6,23.5,1.0,4.0,19.5,0.041
2014-02-12,40.0,27.9,33.0,7.0,7.3,40.5,0.044
2014-02-13,38.0,31.8,34.1,13.0,6.3,20.1,0.034
2014-02-14,42.6,33.3,36.9,1.0,9.8,31.8,0.039
2014-02-15,45.0,30.6,36.0,1.0,17.1,52.8,0.062
2014-02-16,34.0,18.9,27.2,7.0,9.6,39.6,0.052
2014-02-17,38.4,19.2,27.2,0.0,11.2,34.0,0.067
2014-02-18,41.3,22.5,31.5,0.0,12.2,32.9,0.064
2014-02-19,31.6,18.4,23.7,6.0,11.3,43.0,0.046
2014-02-20,36.0,19.8,26.6,0.0,5.2,15.4,0.063
2014-02-21,36.5,22.0,28.7,0.0,4.9,11.2,0.062
2014-02-22,41.4,22.5,30.8,0.0,4.8,15.9,0.075
2014-02-23,45.9,27.0,34.3,0.0,6.2,20.1,0.086
2014-02-24,50.3,29.7,39.6,0.0,4.1,12.5,0.090
2014-02-25,50.7,30.1,40.4,0.0,8.1,21.9,0.097
2014-02-26,44.9,31.1,36.1,10.0,10.6,33.6,0.052
2014-02-27,36.5,26.9,31.1,15.0,8.3,36.9,0.038
2014-02-28,38.8,23.7,30.3,8.0,12.4,31.3,0.036
2014-03-01,36.9,26.6,30.3,14.0,6.2,20.8,0.051
2014-03-02,37.1,28.9,32.5,12.0,11.9,32.7,0.032
2014-03-03,40.0,30.5,33.7,18.0,8.8,34.0,0.036
2014-03-04,38.8,28.6,32.6,6.0,7.1,17.7,0.060
2014-03-05,43.8,24.9,34.2,6.0,11.4,52.3,0.045
2014-03-06,39.5,25.5,32.8,13.0,12.3,46.3,0.056
2014-03-07,41.7,25.0,31.5,0.0,7.2,16.3,0.087
2014-03-08,48.9,23.1,35.6,0.0,9.0,28.2,0.090
2014-03-09,43.6,32.6,37.0,20.0,9.8,31.5,0.029
2014-03-10,33.1,19.0,28.5,15.0,10.3,33.8,0.048
2014-03-11,33.3,11.4,23.0,0.0,10.0,29.3,0.070
2014-03-12,39.1,19.1,29.2,0.0,6.6,19.5,0.093
2014-03-13,46.8,25.1,34.9,0.0,6.0,19.5,0.104
2014-03-14,43.4,28.5,35.5,0.0,10.7,31.1,0.084
2014-03-15,51.3,25.4,38.5,0.0,6.3,17.4,0.122
2014-03-16,56.2,32.4,42.8,0.0,13.3,36.0,0.147
2014-03-17,36.2,23.0,29.6,4.0,13.8,43.0,0.080
2014-03-18,37.8,18.4,27.7,0.0,5.8,18.3,0.094
2014-03-19,48.5,21.4,34.4,0.0,7.3,21.7,0.122
2014-03-20,47.5,27.6,36.5,0.0,5.7,18.8,0.118
2014-03-21,47.5,22.5,34.1,0.0,8.6,26.6,0.116
2014-03-22,45.1,21.7,33.4,0.0,7.3,17.7,0.120
2014-03-23,49.6,29.0,39.3,0.0,6.8,17.7,0.135
2014-03-24,54.9,27.5,41.8,0.0,7.9,23.3,0.148
2014-03-25,42.1,26.1,32.6,10.0,11.6,34.0,0.072
2014-03-26,33.3,21.0,26.3,24.0,7.4,32.0,0.053
2014-03-27,31.5,20.2,25.4,13.0,12.3,33.1,0.063
2014-03-28,37.7,25.3,31.8,10.0,12.5,36.2,0.054
2014-03-29,31.5,24.9,29.4,24.0,8.4,36.2,0.033
2014-03-30,30.9,18.5,24.7,5.0,7.2,19.9,0.073
2014-03-31,29.2,16.7,23.5,13.0,10.8,31.1,0.052
2014-04-01,28.5,16.1,22.4,13.0,6.6,27.5,0.066
2014-04-02,33.1,10.1,22.4,4.0,6.6,21.0,0.074
2014-04-03,33.6,15.5,25.6,0.0,8.2,21.7,0.074
2014-04-04,33.8,18.8,26.4,8.0,6.1,23.3,0.082
2014-04-05,37.2,18.9,28.4,0.0,6.7,16.3,0.088
2014-04-06,42.1,22.4,33.6,0.0,6.2,17.9,0.089
2014-04-07,48.6,25.7,39.0,0.0,6.9,19.7,0.132
2014-04-08,53.1,36.2,44.4,0.0,8.1,22.8,0.143
2014-04-09,55.3,34.1,44.6,0.0,9.6,28.6,0.148
2014-04-10,58.8,37.5,47.7,0.0,5.6,19.2,0.162
2014-04-11,60.4,40.0,49.9,0.0,5.8,16.3,0.169
2014-04-12,58.6,35.8,47.2,0.0,13.3,37.1,0.174
2014-04-13,50.2,26.3,39.0,0.0,6.3,21.0,0.149
2014-04-14,57.6,28.8,43.8,0.0,8.5,22.8,0.173
2014-04-15,52.4,32.4,42.8,0.0,9.9,29.8,0.147
2014-04-16,53.3,29.7,42.7,0.0,6.1,21.5,0.148
2014-04-17,59.5,33.4,45.6,11.0,12.2,37.6,0.150
2014-04-18,55.5,29.5,42.9,3.0,5.8,17.4,0.160
2014-04-19,57.6,33.8,45.2,0.0,14.3,39.4,0.174
2014-04-20,56.5,30.4,43.6,0.0,5.5,13.2,0.164
2014-04-21,56.7,36.1,45.4,0.0,14.2,37.1,0.164
2014-04-22,38.1,24.9,32.3,14.0,10.1,32.7,0.092
2014-04-23,46.3,21.6,34.2,0.0,10.6,29.5,0.118
2014-04-24,47.0,29.3,37.5,11.0,14.6,43.2,0.106
2014-04-25,34.2,24.3,29.6,22.0,5.7,30.0,0.060
2014-04-26,37.0,19.6,28.5,0.0,12.1,32.9,0.097
2014-04-27,37.5,25.4,30.5,20.0,12.8,35.8,0.086
2014-04-28,44.3,24.1,34.4,0.0,4.8,13.4,0.143
2014-04-29,54.4,29.6,42.8,0.0,7.9,23.5,0.174
2014-04-30,61.2,28.7,46.7,0.0,12.5,35.3,0.206
2014-05-01,67.4,35.4,52.2,0.0,7.9,23.9,0.221
2014-05-02,67.9,43.3,55.2,0.0,11.0,30.2,0.220
2014-05-03,60.4,32.6,47.3,0.0,13.2,36.9,0.196
2014-05-04,54.0,31.5,43.4,0.0,15.6,41.6,0.157
2014-05-05,44.4,29.7,36.9,23.0,7.1,24.2,0.096
2014-05-06,45.1,27.9,36.7,1.0,11.0,30.4,0.117
2014-05-07,50.7,25.6,39.1,0.0,7.5,23.3,0.151
2014-05-08,46.6,32.9,39.4,10.0,13.9,37.8,0.077
2014-05-09,48.1,32.2,38.7,12.0,14.7,41.4,0.125
2014-05-10,38.9,25.3,32.2,9.0,11.1,34.9,0.103
2014-05-11,51.0,22.8,38.3,0.0,7.0,18.8,0.164
2014-05-12,56.5,30.9,44.8,0.0,6.2,16.3,0.182
2014-05-13,62.8,34.2,50.1,0.0,6.9,21.3,0.205
2014-05-14,68.0,41.6,56.5,0.0,5.0,15.7,0.225
2014-05-15,71.5,48.9,59.4,0.0,10.1,28.6,0.233
2014-05-16,68.1,44.5,56.3,0.0,11.4,33.8,0.238
2014-05-17,64.0,43.4,53.7,0.0,12.6,36.0,0.224
2014-05-18,50.6,37.1,43.8,9.0,11.3,32.2,0.148
2014-05-19,50.4,33.6,40.7,10.0,6.4,22.4,0.114
2014-05-20,54.1,30.6,43.5,2.0,13.1,34.4,0.144
2014-05-21,57.2,36.9,48.4,4.0,11.6,32.0,0.180
2014-05-22,63.6,35.4,51.9,0.0,7.8,24.4,0.199
2014-05-23,68.3,46.5,55.9,0.0,13.8,37.6,0.197
2014-05-24,66.4,42.7,54.6,0.0,7.7,23.5,0.215
2014-05-25,71.2,45.9,59.3,0.0,8.1,24.4,0.237
2014-05-26,69.3,41.4,56.4,0.0,9.4,28.0,0.237
2014-05-27,65.9,41.3,54.6,0.0,14.7,36.9,0.244
2014-05-28,51.7,32.7,43.0,0.0,10.3,30.6,0.177
2014-05-29,60.3,31.5,47.3,0.0,8.5,25.7,0.216
2014-05-30,64.8,41.8,53.6,0.0,9.3,27.1,0.211
2014-05-31,65.1,38.7,52.9,0.0,10.6,28.9,0.233
2014-06-01,68.4,42.3,56.9,0.0,6.6,19.0,0.231
2014-06-02,69.5,47.9,58.4,0.0,11.4,32.7,0.239
2014-06-03,68.8,42.5,56.2,0.0,8.4,26.4,0.227
2014-06-04,70.9,44.1,58.9,0.0,6.7,17.0,0.245
2014-06-05,74.4,48.6,63.2,0.0,8.3,23.7,0.258
2014-06-06,73.1,46.8,61.9,0.0,8.5,21.7,0.263
2014-06-07,72.9,46.2,60.8,0.0,9.3,25.5,0.258
2014-06-08,72.9,43.5,60.0,0.0,6.7,18.8,0.245
2014-06-09,77.9,52.8,66.1,0.0,7.9,24.2,0.270
2014-06-10,72.6,47.0,61.6,0.0,8.7,24.6,0.263
2014-06-11,76.6,45.8,62.7,0.0,11.8,32.0,0.282
2014-06-12,68.7,46.6,58.2,0.0,16.2,43.4,0.266
2014-06-13,55.6,36.4,46.8,2.0,11.4,32.7,0.189
2014-06-14,63.3,35.6,50.6,0.0,7.0,23.9,0.203
2014-06-15,63.9,39.6,52.9,0.0,11.2,34.7,0.229
2014-06-16,56.7,36.7,46.4,0.0,15.2,42.7,0.189
2014-06-17,52.5,31.4,42.7,2.0,10.5,30.4,0.169
2014-06-18,65.8,36.5,52.6,0.0,6.4,21.3,0.225
2014-06-19,73.4,46.0,60.1,0.0,10.7,27.3,0.262
2014-06-20,72.0,48.6,60.5,0.0,11.0,31.3,0.264
2014-06-21,72.1,47.0,59.8,0.0,10.7,31.5,0.250
2014-06-22,73.6,45.0,60.9,0.0,6.2,15.7,0.242
2014-06-23,76.5,46.3,63.2,0.0,8.9,26.6,0.267
2014-06-24,70.0,46.8,60.5,0.0,6.5,19.9,0.211
2014-06-25,68.4,47.0,56.5,5.0,12.6,34.0,0.159
2014-06-26,55.1,44.6,49.2,15.0,12.1,30.9,0.104
2014-06-27,63.9,42.6,53.8,0.0,11.0,31.1,0.183
2014-06-28,71.2,44.5,58.1,1.0,8.8,27.7,0.236
2014-06-29,73.8,47.2,61.3,0.0,7.9,20.6,0.256
2014-06-30,80.3,47.8,66.7,0.0,4.9,16.6,0.255
2014-07-01,84.8,54.1,71.2,0.0,7.4,19.9,0.288
2014-07-02,81.2,55.2,68.9,0.0,10.9,29.1,0.275
2014-07-03,80.8,54.8,68.2,0.0,9.7,23.3,0.260
2014-07-04,81.0,55.6,68.1,0.0,10.7,31.5,0.292
2014-07-05,81.9,51.2,67.9,0.0,8.5,23.7,0.292
2014-07-06,85.1,56.9,71.3,0.0,7.2,19.7,0.283
2014-07-07,86.6,56.7,73.5,0.0,5.2,15.2,0.267
2014-07-08,83.8,60.8,72.2,1.0,11.7,32.9,0.220
2014-07-09,78.6,61.3,68.9,3.0,7.5,23.3,0.192
2014-07-10,80.3,55.7,69.1,0.0,7.0,16.6,0.247
2014-07-11,75.3,54.7,63.6,4.0,7.6,21.0,0.188
2014-07-12,79.9,54.0,67.7,1.0,5.7,15.4,0.218
2014-07-13,87.0,60.2,74.0,0.0,10.2,25.7,0.282
2014-07-14,87.5,57.6,73.3,0.0,7.4,21.3,0.276
2014-07-15,85.4,63.0,74.0,0.0,9.6,23.9,0.253
2014-07-16,83.8,58.3,71.2,1.0,10.1,26.8,0.240
2014-07-17,82.1,55.9,70.2,1.0,8.3,21.9,0.245
2014-07-18,82.9,54.2,69.9,0.0,7.8,22.4,0.261
