latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.246044,-120.8427,1635.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,45.8,27.5,35.8,0.0,4.8,14.3,0.049
2014-01-02,45.1,29.7,35.7,0.0,4.1,11.0,0.045
2014-01-03,53.7,27.8,37.5,0.0,4.2,14.1,0.051
2014-01-04,39.4,24.3,30.7,0.0,6.4,22.8,0.045
2014-01-05,39.0,21.4,28.6,0.0,6.6,21.5,0.052
2014-01-06,39.1,24.5,30.0,0.0,5.2,13.0,0.038
2014-01-07,47.0,26.4,33.8,0.0,7.0,23.0,0.048
2014-01-08,43.2,27.1,32.7,0.0,5.9,23.0,0.035
2014-01-09,42.9,28.1,33.9,0.0,8.8,26.4,0.033
2014-01-10,48.7,26.1,34.9,0.0,3.5,18.6,0.042
2014-01-11,38.0,28.3,33.0,13.0,10.7,39.8,0.020
2014-01-12,40.5,24.8,31.4,0.0,5.7,19.7,0.043
2014-01-13,46.8,26.9,34.6,0.0,4.7,14.3,0.050
2014-01-14,47.5,28.7,35.7,0.0,4.7,13.9,0.055
2014-01-15,47.4,27.6,35.5,0.0,5.4,16.8,0.057
2014-01-16,45.1,26.0,33.8,0.0,5.7,18.3,0.056
2014-01-17,46.2,27.5,35.5,0.0,4.8,13.4,0.059
2014-01-18,46.7,28.0,36.2,0.0,4.7,15.2,0.059
2014-01-19,49.3,29.2,37.3,0.0,2.9,8.9,0.051
2014-01-20,46.1,28.6,35.6,0.0,4.8,14.1,0.057
2014-01-21,47.0,28.0,36.0,0.0,3.6,10.5,0.055
2014-01-22,51.9,24.9,36.2,0.0,6.0,17.2,0.063
2014-01-23,41.5,27.6,33.7,0.0,11.9,37.1,0.065
2014-01-24,46.4,27.3,36.8,0.0,7.2,24.8,0.066
2014-01-25,47.6,32.5,38.3,0.0,4.9,15.7,0.067
2014-01-26,50.2,30.7,38.8,0.0,3.2,10.3,0.062
2014-01-27,52.1,28.1,38.4,0.0,2.1,7.8,0.046
2014-01-28,50.6,33.4,40.5,2.0,4.6,14.5,0.050
2014-01-29,46.6,32.5,38.6,12.0,7.6,29.3,0.017
2014-01-30,39.2,29.7,32.9,10.0,3.2,12.1,0.037
2014-01-31,34.8,23.9,28.4,3.0,5.8,18.3,0.049
2014-02-01,37.0,22.5,28.0,0.0,3.6,13.9,0.055
2014-02-02,36.0,21.9,28.0,0.0,3.6,14.3,0.045
2014-02-03,36.7,20.7,27.4,0.0,6.2,20.1,0.048
2014-02-04,37.8,22.1,27.8,0.0,4.5,15.4,0.054
2014-02-05,41.1,21.0,28.6,0.0,7.9,28.2,0.057
2014-02-06,35.4,25.1,30.2,16.0,8.5,30.2,0.028
2014-02-07,34.3,30.7,32.0,24.0,15.5,46.3,0.026
2014-02-08,37.3,34.3,35.4,24.0,11.2,42.3,0.014
2014-02-09,43.5,35.6,38.4,21.0,8.0,34.4,0.022
2014-02-10,43.5,27.8,36.1,9.0,3.3,20.6,0.055
2014-02-11,46.9,26.3,35.1,1.0,5.6,18.6,0.062
2014-02-12,50.4,29.3,37.4,0.0,11.7,38.7,0.072
2014-02-13,47.5,33.9,39.4,9.0,8.6,25.3,0.031
2014-02-14,50.5,35.1,42.0,0.0,11.2,38.0,0.048
2014-02-15,51.4,30.8,40.1,8.0,15.0,43.0,0.056
2014-02-16,45.5,28.5,36.5,5.0,10.3,36.2,0.065
2014-02-17,47.8,25.5,34.6,0.0,10.2,30.4,0.077
2014-02-18,49.5,25.9,35.8,0.0,9.8,29.3,0.066
2014-02-19,43.9,29.6,35.3,4.0,8.0,28.6,0.073
2014-02-20,47.9,29.3,36.9,0.0,3.0,12.1,0.078
2014-02-21,47.6,31.0,37.8,0.0,3.4,12.5,0.074
2014-02-22,50.5,30.9,39.7,0.0,2.7,10.3,0.086
2014-02-23,54.1,30.9,40.1,0.0,7.1,20.8,0.096
2014-02-24,56.5,31.5,42.7,0.0,3.8,10.5,0.095
2014-02-25,57.5,31.6,43.5,0.0,5.1,16.6,0.101
2014-02-26,47.2,33.4,39.4,12.0,9.2,41.4,0.041
2014-02-27,40.8,32.1,35.5,18.0,12.2,38.9,0.041
2014-02-28,43.2,30.7,35.1,18.0,7.2,35.1,0.040
2014-03-01,43.2,30.5,35.9,7.0,7.9,21.3,0.055
2014-03-02,40.9,33.0,36.9,15.0,8.6,26.6,0.029
2014-03-03,43.4,33.9,38.0,18.0,8.4,27.3,0.041
2014-03-04,49.8,33.0,39.7,3.0,4.2,15.7,0.065
2014-03-05,51.4,29.8,40.0,8.0,12.5,46.5,0.064
2014-03-06,44.4,32.9,38.8,10.0,13.7,45.4,0.062
2014-03-07,48.6,30.1,38.4,0.0,5.9,20.4,0.093
2014-03-08,57.8,32.8,43.4,0.0,5.9,16.6,0.107
2014-03-09,51.7,37.0,42.9,13.0,8.1,32.0,0.069
2014-03-10,44.8,29.8,38.1,9.0,10.2,35.6,0.085
2014-03-11,41.0,24.4,33.1,0.0,14.0,43.6,0.093
2014-03-12,48.4,30.0,38.5,0.0,10.2,32.2,0.110
2014-03-13,56.9,31.6,43.0,0.0,4.7,13.6,0.122
2014-03-14,54.6,29.8,42.2,1.0,7.0,22.4,0.106
2014-03-15,58.8,35.4,46.6,0.0,3.9,13.9,0.123
2014-03-16,61.9,33.0,46.8,0.0,11.8,33.8,0.144
2014-03-17,44.1,30.4,38.2,0.0,9.4,32.2,0.105
2014-03-18,45.0,25.9,35.1,0.0,9.6,29.5,0.111
2014-03-19,55.6,32.9,42.1,0.0,6.3,19.7,0.130
2014-03-20,57.2,31.2,43.1,0.0,4.1,12.8,0.128
2014-03-21,55.0,33.3,43.1,1.0,7.2,22.4,0.123
2014-03-22,52.2,31.1,42.2,0.0,6.5,21.0,0.127
2014-03-23,57.5,34.2,45.9,0.0,2.2,9.6,0.133
2014-03-24,61.9,36.1,47.4,0.0,7.7,23.0,0.153
2014-03-25,48.4,31.0,38.2,11.0,14.3,45.6,0.083
2014-03-26,40.0,30.5,34.4,23.0,11.1,39.4,0.064
2014-03-27,41.2,29.6,34.8,13.0,12.7,37.6,0.073
2014-03-28,44.8,32.9,38.1,16.0,12.5,35.3,0.049
2014-03-29,37.3,29.4,33.5,24.0,9.0,34.4,0.031
2014-03-30,38.4,26.2,31.6,15.0,8.8,28.6,0.081
2014-03-31,35.6,25.8,30.4,13.0,9.2,36.5,0.058
2014-04-01,33.7,22.7,28.8,9.0,9.6,32.7,0.063
2014-04-02,39.8,16.7,29.9,0.0,5.0,15.2,0.090
2014-04-03,42.0,18.6,31.7,0.0,7.3,23.3,0.086
2014-04-04,41.3,28.0,33.7,12.0,6.3,23.9,0.086
2014-04-05,45.6,28.9,36.9,0.0,4.2,13.9,0.101
2014-04-06,54.4,31.1,42.6,0.0,6.5,20.6,0.126
2014-04-07,63.0,35.3,48.9,0.0,4.6,16.1,0.157
2014-04-08,64.4,35.4,50.2,0.0,8.6,25.7,0.165
2014-04-09,63.0,37.5,49.7,0.0,9.1,28.2,0.156
2014-04-10,66.5,36.4,51.0,0.0,5.8,16.3,0.174
2014-04-11,67.9,37.4,52.5,0.0,6.5,17.7,0.179
2014-04-12,65.4,37.3,51.5,0.0,9.2,27.5,0.171
2014-04-13,56.6,33.5,46.8,0.0,8.8,28.2,0.166
2014-04-14,64.9,39.5,50.7,0.0,6.4,20.1,0.190
2014-04-15,64.0,34.2,50.3,0.0,7.4,25.1,0.169
2014-04-16,62.3,36.6,50.2,0.0,3.9,15.4,0.162
2014-04-17,65.9,41.9,53.3,5.0,11.9,35.3,0.175
2014-04-18,62.7,38.0,50.1,5.0,5.3,17.0,0.152
2014-04-19,62.6,36.6,49.8,0.0,12.2,37.1,0.185
2014-04-20,63.0,38.2,51.8,0.0,4.7,17.4,0.169
2014-04-21,61.1,37.1,50.3,0.0,11.8,35.1,0.168
2014-04-22,44.1,32.7,39.4,13.0,12.2,34.0,0.109
2014-04-23,55.6,30.2,42.3,0.0,9.5,28.6,0.150
2014-04-24,54.2,32.3,44.4,3.0,13.7,43.6,0.141
2014-04-25,39.2,31.9,35.9,20.0,7.4,31.5,0.054
2014-04-26,47.4,25.8,36.7,0.0,11.8,35.3,0.122
2014-04-27,47.9,32.5,38.9,4.0,11.2,35.8,0.103
2014-04-28,56.4,33.3,44.4,0.0,4.7,15.9,0.153
2014-04-29,61.4,36.4,50.2,0.0,10.7,33.1,0.198
2014-04-30,67.8,39.9,54.8,0.0,10.8,33.3,0.229
2014-05-01,74.3,47.8,59.7,0.0,7.9,23.3,0.231
2014-05-02,72.9,42.6,57.4,0.0,10.3,32.4,0.224
2014-05-03,64.6,37.4,51.6,0.0,13.3,40.3,0.210
2014-05-04,59.5,34.4,47.6,0.0,13.9,40.5,0.165
2014-05-05,51.1,36.9,43.6,10.0,10.9,34.4,0.119
2014-05-06,53.4,33.3,43.7,6.0,9.6,30.2,0.137
2014-05-07,60.7,34.2,46.7,0.0,6.5,24.6,0.168
2014-05-08,55.2,37.0,46.1,6.0,13.4,39.1,0.107
2014-05-09,55.4,40.3,46.5,5.0,13.2,38.9,0.143
2014-05-10,47.5,33.9,41.1,3.0,10.6,28.9,0.129
2014-05-11,58.4,30.7,45.6,0.0,7.9,25.9,0.180
2014-05-12,63.7,40.2,53.1,0.0,7.5,25.3,0.207
2014-05-13,70.5,43.2,58.3,0.0,8.1,25.9,0.233
2014-05-14,75.9,48.7,63.4,0.0,5.8,19.9,0.237
2014-05-15,77.5,45.5,62.0,0.0,9.8,29.5,0.231
2014-05-16,74.6,45.0,60.5,0.0,11.0,34.2,0.246
2014-05-17,69.9,46.4,58.2,0.0,11.0,34.7,0.238
2014-05-18,59.4,44.0,51.6,0.0,11.8,36.2,0.190
2014-05-19,57.4,39.9,47.0,9.0,7.0,27.5,0.136
2014-05-20,56.3,35.5,45.9,9.0,8.1,25.1,0.108
2014-05-21,64.0,37.7,52.5,0.0,9.2,27.1,0.182
2014-05-22,67.4,43.4,56.5,0.0,9.1,30.6,0.204
2014-05-23,74.7,46.5,60.5,0.0,7.6,24.8,0.198
2014-05-24,75.8,47.3,62.4,0.0,5.9,18.3,0.226
2014-05-25,80.3,49.9,65.4,0.0,9.3,28.9,0.250
2014-05-26,75.3,47.1,62.8,0.0,10.9,33.6,0.257
2014-05-27,72.0,48.0,61.0,0.0,12.4,37.6,0.260
2014-05-28,64.8,41.0,53.9,0.0,7.4,24.6,0.232
2014-05-29,68.9,39.6,56.0,0.0,9.0,28.6,0.223
2014-05-30,70.2,46.4,58.9,0.0,8.7,28.6,0.222
2014-05-31,73.7,45.1,59.6,0.0,8.7,26.8,0.245
