latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.89455,-120.62761,1786.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,47.8,25.3,33.2,0.0,4.6,13.6,0.051
2014-01-02,48.8,25.4,33.3,0.0,3.7,8.9,0.048
2014-01-03,53.4,26.7,36.0,0.0,5.2,18.3,0.054
2014-01-04,41.2,23.7,31.0,0.0,6.9,23.9,0.048
2014-01-05,41.4,20.6,28.5,0.0,5.9,20.1,0.056
2014-01-06,44.9,22.0,30.5,0.0,4.8,15.0,0.040
2014-01-07,46.4,25.0,33.1,0.0,9.1,27.7,0.052
2014-01-08,42.2,26.5,32.1,1.0,6.5,23.9,0.035
2014-01-09,41.6,27.1,31.8,0.0,10.1,30.4,0.034
2014-01-10,48.6,25.3,34.1,0.0,4.2,18.1,0.044
2014-01-11,36.1,29.2,32.5,13.0,14.4,41.4,0.016
2014-01-12,39.3,23.4,30.0,0.0,7.5,25.5,0.043
2014-01-13,48.8,24.4,32.9,0.0,5.0,17.2,0.055
2014-01-14,50.0,24.5,33.5,0.0,5.2,15.7,0.058
2014-01-15,49.5,24.4,33.1,0.0,5.0,18.6,0.061
2014-01-16,48.3,22.2,32.1,0.0,5.7,19.7,0.064
2014-01-17,50.5,24.1,33.5,0.0,4.6,13.2,0.060
2014-01-18,49.9,24.3,33.5,0.0,4.5,13.0,0.060
2014-01-19,52.3,25.8,35.2,0.0,4.6,18.3,0.060
2014-01-20,50.0,24.6,33.9,0.0,4.8,13.6,0.064
2014-01-21,50.9,23.1,33.3,0.0,3.5,10.1,0.059
2014-01-22,51.5,24.5,34.6,0.0,5.5,17.0,0.068
2014-01-23,41.4,25.4,32.4,0.0,13.0,39.6,0.070
2014-01-24,48.4,27.7,35.6,0.0,9.0,24.8,0.068
2014-01-25,49.2,26.7,34.8,0.0,5.1,16.1,0.065
2014-01-26,52.5,26.6,36.5,0.0,3.2,10.5,0.065
2014-01-27,51.9,29.4,38.0,0.0,3.5,10.5,0.050
2014-01-28,49.6,31.2,38.9,0.0,5.1,17.0,0.052
2014-01-29,43.7,33.9,38.1,13.0,10.8,32.9,0.014
2014-01-30,39.1,28.3,32.2,17.0,4.5,13.4,0.039
2014-01-31,33.8,23.0,27.8,4.0,6.3,17.4,0.047
2014-02-01,36.9,19.9,26.1,0.0,4.3,12.5,0.059
2014-02-02,33.7,16.2,24.8,2.0,4.7,13.4,0.038
2014-02-03,35.0,17.8,25.6,1.0,6.8,22.8,0.045
2014-02-04,36.4,18.2,25.7,0.0,5.9,15.2,0.050
2014-02-05,38.1,17.6,26.4,0.0,8.8,26.8,0.054
2014-02-06,32.9,25.0,28.4,20.0,9.7,31.3,0.024
2014-02-07,32.6,28.9,30.2,24.0,17.7,51.0,0.020
2014-02-08,35.8,33.1,34.1,24.0,13.8,46.5,0.013
2014-02-09,38.1,33.8,35.6,24.0,10.8,37.4,0.017
2014-02-10,42.5,25.0,33.5,9.0,4.1,26.4,0.045
2014-02-11,44.4,18.2,31.7,0.0,7.1,22.1,0.063
2014-02-12,45.8,23.2,33.4,0.0,12.9,40.3,0.067
2014-02-13,45.2,29.0,36.2,8.0,9.4,27.5,0.030
2014-02-14,50.1,32.2,39.8,0.0,12.7,39.6,0.059
