latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.964848,-122.93295,1972.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),et0_fao_evapotranspiration (inch)
2014-01-01,53.0,38.6,43.2,0.0,2.4,9.6,0.049
2014-01-02,52.8,38.7,42.8,0.0,2.0,10.3,0.047
2014-01-03,52.4,37.9,43.0,0.0,3.5,11.6,0.050
2014-01-04,47.9,30.4,38.7,0.0,6.0,24.6,0.064
2014-01-05,50.7,29.9,37.9,0.0,5.1,21.3,0.064
2014-01-06,43.2,30.9,37.3,4.0,3.0,16.6,0.034
2014-01-07,40.6,30.9,34.6,0.0,3.3,13.0,0.026
2014-01-08,41.3,27.8,33.3,3.0,4.5,20.8,0.030
2014-01-09,40.9,29.0,34.1,3.0,5.3,22.8,0.034
2014-01-10,51.2,31.1,38.2,0.0,3.2,20.4,0.047
2014-01-11,36.8,28.2,32.5,11.0,9.5,31.8,0.021
2014-01-12,40.9,24.6,31.0,0.0,6.5,23.0,0.042
2014-01-13,55.2,29.6,40.3,0.0,4.8,21.5,0.066
2014-01-14,57.4,36.8,45.4,0.0,3.9,18.1,0.079
2014-01-15,58.9,39.0,45.8,0.0,5.0,20.4,0.085
2014-01-16,57.7,40.1,46.2,0.0,4.6,18.3,0.085
2014-01-17,54.7,39.5,45.8,0.0,2.9,10.7,0.068
2014-01-18,54.6,37.6,43.9,0.0,2.2,8.7,0.063
2014-01-19,51.4,33.5,41.2,0.0,2.8,9.8,0.063
2014-01-20,51.2,35.2,40.8,0.0,2.7,11.0,0.065
2014-01-21,51.5,33.8,40.6,0.0,3.2,11.2,0.065
2014-01-22,54.7,33.3,42.6,0.0,4.6,19.0,0.076
2014-01-23,48.0,28.2,36.7,0.0,9.1,33.3,0.076
2014-01-24,50.0,28.7,37.5,0.0,7.4,27.1,0.071
2014-01-25,53.1,34.0,41.0,0.0,4.2,15.0,0.067
2014-01-26,53.0,34.1,42.6,0.0,3.1,10.7,0.067
2014-01-27,46.0,34.4,39.2,5.0,3.1,8.1,0.029
2014-01-28,43.4,34.5,39.3,9.0,3.0,17.4,0.014
2014-01-29,41.5,31.9,38.9,15.0,5.7,24.2,0.015
2014-01-30,41.2,26.0,32.1,8.0,4.5,17.9,0.046
2014-01-31,34.4,21.5,26.7,1.0,8.7,30.9,0.051
2014-02-01,36.5,20.5,27.2,0.0,3.9,17.0,0.053
2014-02-02,28.8,21.8,24.4,6.0,10.9,35.1,0.029
2014-02-03,34.9,21.4,26.1,0.0,5.5,20.4,0.048
2014-02-04,35.4,21.7,26.4,0.0,2.9,14.8,0.045
2014-02-05,37.0,20.9,27.6,3.0,3.8,17.4,0.049
2014-02-06,30.4,25.1,27.1,24.0,4.6,20.8,0.015
2014-02-07,32.5,25.2,27.6,24.0,8.0,49.2,0.009
2014-02-08,37.0,31.9,34.1,15.0,5.6,26.4,0.009
2014-02-09,39.8,32.8,36.0,20.0,4.0,30.9,0.014
2014-02-10,47.6,30.7,37.7,2.0,4.8,19.7,0.066
2014-02-11,47.8,26.8,36.6,2.0,3.9,17.9,0.062
2014-02-12,49.2,30.9,39.1,5.0,8.6,30.6,0.053
2014-02-13,44.1,37.8,40.2,19.0,4.4,24.2,0.019
2014-02-14,46.2,38.3,41.8,5.0,5.4,23.5,0.028
2014-02-15,43.9,33.2,39.3,10.0,10.8,36.7,0.024
2014-02-16,43.2,24.5,33.0,0.0,5.2,22.8,0.061
2014-02-17,45.8,25.4,34.2,0.0,6.8,23.9,0.071
2014-02-18,47.8,27.4,36.2,2.0,8.1,26.8,0.071
2014-02-19,43.6,24.6,33.2,3.0,7.6,27.7,0.074
2014-02-20,49.7,25.3,36.1,0.0,4.6,19.7,0.080
2014-02-21,48.6,30.7,38.5,0.0,3.8,15.7,0.080
2014-02-22,52.0,30.7,39.9,0.0,2.9,12.5,0.088
2014-02-23,52.7,33.2,41.4,0.0,3.7,16.8,0.089
2014-02-24,54.0,36.4,43.4,0.0,3.0,15.2,0.090
2014-02-25,52.6,33.2,42.3,0.0,6.3,23.7,0.089
2014-02-26,36.9,32.3,35.1,18.0,8.1,41.4,0.018
2014-02-27,38.1,30.2,33.6,15.0,7.6,26.2,0.026
2014-02-28,38.3,29.7,33.1,21.0,10.1,35.6,0.028
2014-03-01,41.3,30.5,34.8,16.0,6.4,21.9,0.053
2014-03-02,39.6,33.3,35.6,16.0,5.4,24.8,0.022
2014-03-03,39.3,34.6,36.5,23.0,6.7,35.3,0.012
2014-03-04,46.3,35.1,38.8,2.0,4.0,16.1,0.047
2014-03-05,43.4,36.3,39.3,20.0,9.6,45.4,0.023
2014-03-06,39.7,29.7,35.2,10.0,9.2,36.2,0.044
2014-03-07,51.5,25.8,38.1,0.0,3.4,14.3,0.097
2014-03-08,55.7,36.7,44.4,5.0,4.6,19.7,0.101
2014-03-09,44.1,38.4,40.7,24.0,5.3,29.3,0.020
2014-03-10,44.7,30.7,37.5,4.0,7.0,27.5,0.089
2014-03-11,48.5,27.3,37.0,0.0,11.6,40.3,0.113
2014-03-12,53.4,27.6,40.2,0.0,6.5,24.4,0.121
2014-03-13,56.0,35.9,44.6,0.0,4.7,20.1,0.122
2014-03-14,54.7,30.8,42.1,1.0,5.0,19.0,0.111
2014-03-15,59.0,38.1,46.9,0.0,4.7,17.4,0.124
2014-03-16,59.4,35.1,45.4,0.0,8.9,28.6,0.138
2014-03-17,46.8,30.8,37.8,2.0,6.8,28.6,0.109
2014-03-18,50.3,27.9,38.4,0.0,7.8,28.4,0.120
2014-03-19,53.0,33.6,42.0,0.0,2.7,15.2,0.116
2014-03-20,54.2,29.4,41.5,0.0,2.2,15.4,0.121
2014-03-21,54.3,35.5,43.7,0.0,4.2,20.8,0.123
2014-03-22,53.6,30.8,41.5,1.0,4.6,19.0,0.126
2014-03-23,56.2,33.2,43.8,0.0,2.9,17.0,0.128
2014-03-24,58.2,36.5,46.8,0.0,5.9,22.6,0.140
2014-03-25,39.4,29.4,33.5,12.0,6.3,24.4,0.042
2014-03-26,36.0,26.8,30.1,24.0,7.0,30.0,0.033
2014-03-27,38.2,26.0,31.8,19.0,7.3,23.9,0.054
2014-03-28,37.9,32.9,35.3,18.0,9.3,39.4,0.023
2014-03-29,39.4,27.7,34.1,7.0,8.1,29.3,0.056
2014-03-30,37.7,23.8,30.3,4.0,7.3,26.8,0.070
2014-03-31,26.9,22.1,24.6,13.0,8.5,35.3,0.016
2014-04-01,32.5,21.9,25.9,22.0,7.3,27.7,0.044
2014-04-02,41.8,18.8,29.9,0.0,3.8,19.2,0.097
2014-04-03,39.4,25.7,31.8,0.0,7.7,26.6,0.073
2014-04-04,38.9,25.6,31.4,10.0,3.3,18.1,0.082
2014-04-05,49.9,21.8,36.0,0.0,7.9,26.6,0.112
2014-04-06,58.5,30.1,44.7,0.0,4.8,19.9,0.137
2014-04-07,62.5,40.4,50.7,0.0,4.0,17.9,0.155
2014-04-08,61.4,42.8,50.6,0.0,4.6,19.5,0.147
2014-04-09,61.4,38.9,49.5,0.0,3.4,18.1,0.151
2014-04-10,63.6,41.3,51.3,0.0,3.2,17.9,0.162
2014-04-11,64.8,43.3,52.6,1.0,3.4,18.1,0.163
2014-04-12,63.8,41.1,51.8,0.0,5.6,21.7,0.163
2014-04-13,62.9,38.9,50.2,0.0,6.5,23.9,0.167
2014-04-14,64.1,39.4,51.2,0.0,5.4,22.8,0.170
2014-04-15,61.7,34.6,48.6,0.0,4.6,23.3,0.164
2014-04-16,61.2,36.0,48.3,0.0,5.0,22.8,0.164
2014-04-17,59.5,36.9,46.2,3.0,10.8,38.3,0.141
2014-04-18,62.6,32.8,47.4,0.0,6.0,22.4,0.170
2014-04-19,56.1,33.7,44.6,0.0,7.9,29.8,0.157
2014-04-20,63.1,31.9,47.7,0.0,4.3,21.0,0.173
2014-04-21,56.2,34.2,44.3,1.0,12.0,37.4,0.114
2014-04-22,40.9,26.4,33.2,2.0,10.4,35.1,0.101
2014-04-23,49.4,25.8,36.6,3.0,7.4,26.4,0.093
2014-04-24,47.6,32.1,38.2,6.0,7.4,32.2,0.075
2014-04-25,38.3,25.5,31.5,12.0,5.1,22.6,0.066
2014-04-26,42.3,23.3,32.4,4.0,8.6,28.2,0.102
2014-04-27,47.0,29.5,35.9,7.0,8.3,28.0,0.087
2014-04-28,54.2,25.5,40.9,0.0,4.1,21.7,0.152
2014-04-29,64.9,36.7,51.4,0.0,8.1,27.3,0.194
2014-04-30,68.3,41.1,55.7,0.0,6.5,23.5,0.196
2014-05-01,70.2,46.4,57.9,0.0,6.5,23.7,0.199
2014-05-02,67.4,42.0,53.9,0.0,7.1,27.1,0.188
2014-05-03,58.8,37.7,46.8,0.0,7.8,29.1,0.157
2014-05-04,51.3,35.2,41.6,0.0,7.9,27.5,0.095
2014-05-05,44.8,30.1,36.8,6.0,9.6,32.4,0.117
2014-05-06,54.3,27.5,39.8,0.0,8.5,32.4,0.157
2014-05-07,57.4,29.9,43.9,0.0,6.5,24.4,0.172
2014-05-08,47.9,37.7,41.8,14.0,6.6,23.7,0.056
2014-05-09,50.2,34.0,40.2,1.0,8.7,30.9,0.128
2014-05-10,49.3,29.9,39.0,3.0,10.9,37.8,0.134
2014-05-11,59.7,29.5,45.1,0.0,6.6,23.7,0.181
2014-05-12,64.9,37.3,51.6,0.0,3.7,18.6,0.190
2014-05-13,71.0,45.4,57.9,0.0,4.7,18.6,0.201
2014-05-14,74.3,50.3,61.3,0.0,4.7,22.4,0.217
2014-05-15,71.4,47.9,59.2,0.0,7.0,25.1,0.193
2014-05-16,70.8,42.9,56.6,0.0,6.5,25.3,0.219
2014-05-17,65.1,40.0,51.8,0.0,10.3,37.8,0.207
2014-05-18,55.2,37.5,45.0,0.0,9.6,31.8,0.151
