,StationName,County,BeginGageServiceDate,EndGageServiceDate,TotalPrecipitation_inches,WaterYear,Notes_FlaggedResults,x_coord,y_coord,min_distance,wstation_x,wstation_y,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,year,temp_max_mean,temp_min_mean,temp_min_ann,temp_max_ann,temp_min_at_max_ann,temp_max_at_min_ann,temp_mean_ann,temp_mean_max,temp_mean_min,wind_speed_max_min,wind_speed_max_max,wind_speed_max_mean,wind_gusts_max_min,wind_gusts_max_max,wind_gusts_max_mean,precipitation_hours_sum,precipitation_hours_mean,evapotranspiration_min,evapotranspiration_max,evapotranspiration_mean
60628,Medicine Lake,Siskiyou,9/15/2017,9/5/2018,26.47,2018,,-121.6164207,41.58738047,0.005200089737230206,-121.68831,41.581722,41.581722,-121.68831,2050.0,-28800,America/Los_Angeles,GMT-8,2018,51.43205479452055,33.72301369863013,-2.6,87.7,81.0,53.5,42.294794520547946,73.0,9.5,4.5,26.6,11.081369863013698,11.9,67.1,30.38082191780822,1371.0,3.756164383561644,0.006,0.281,0.11607397260273972
60993,Medicine Lake,Siskiyou,9/5/2018,9/9/2019,29.75,2019,,-121.6164207,41.58738047,0.005200089737230206,-121.68831,41.581722,41.581722,-121.68831,2050.0,-28800,America/Los_Angeles,GMT-8,2019,48.67205479452055,32.90520547945206,6.3,84.7,81.0,53.5,40.476164383561645,71.0,11.5,3.2,29.2,11.2586301369863,9.4,72.7,30.58986301369863,1888.0,5.1726027397260275,0.006,0.268,0.10671232876712329
61358,Medicine Lake,Siskiyou,9/9/2019,8/30/2020,25.04,2020,,-121.6164207,41.58738047,0.005200089737230206,-121.68831,41.581722,41.581722,-121.68831,2050.0,-28800,America/Los_Angeles,GMT-8,2020,51.716939890710385,34.31092896174863,6.9,86.2,81.0,53.5,42.671857923497264,73.8,13.1,4.2,24.8,10.839071038251365,10.3,69.8,29.727595628415298,1137.0,3.1065573770491803,0.006,0.28,0.11854371584699454
61724,Medicine Lake,Siskiyou,8/30/2020,9/1/2021,18.72,2021,,-121.6164207,41.58738047,0.005200089737230206,-121.68831,41.581722,41.581722,-121.68831,2050.0,-28800,America/Los_Angeles,GMT-8,2021,51.54547945205479,34.124931506849315,5.7,89.5,81.0,53.5,42.510958904109586,76.5,12.2,4.7,25.1,11.414794520547945,9.4,63.5,30.78082191780822,1388.0,3.802739726027397,0.004,0.32,0.12076712328767122
62089,Medicine Lake,Siskiyou,9/1/2021,9/28/2022,24.65,2022,,-121.6164207,41.58738047,0.005200089737230206,-121.68831,41.581722,41.581722,-121.68831,2050.0,-28800,America/Los_Angeles,GMT-8,2022,50.92630136986301,33.72520547945206,1.2,90.5,81.0,53.5,42.008493150684934,78.5,8.9,4.0,26.9,10.960821917808218,8.1,62.0,28.50328767123288,1185.0,3.2465753424657535,0.005,0.304,0.1166958904109589
62454,Medicine Lake,Siskiyou,9/28/2022,8/28/2023,17.93,2023,,-121.6164207,41.58738047,0.005200089737230206,-121.68831,41.581722,41.581722,-121.68831,2050.0,-28800,America/Los_Angeles,GMT-8,2023,48.71753424657535,32.60465753424658,4.4,86.6,81.0,53.5,40.28904109589041,72.7,9.8,3.3,27.7,11.123287671232877,11.2,61.7,28.5613698630137,1788.0,4.898630136986301,0.006,0.278,0.10576986301369863
62819,Mount Hough,Plumas,9/30/2013,9/15/2014,25.77,2014,,-120.8800745,40.04104651,0.0278585100504341,-120.71327,40.03515,40.03515,-120.71327,2076.0,-28800,America/Los_Angeles,GMT-8,2014,55.58958904109589,32.94191780821917,0.5,89.7,81.0,53.5,43.98219178082192,72.7,8.7,2.8,17.2,8.110958904109589,10.3,60.6,25.526849315068493,1331.0,3.6465753424657534,0.008,0.279,0.12116164383561645
63184,Mount Hough,Plumas,9/15/2014,9/14/2015,29.39,2015,,-120.8800745,40.04104651,0.0278585100504341,-120.71327,40.03515,40.03515,-120.71327,2076.0,-28800,America/Los_Angeles,GMT-8,2015,54.94794520547945,31.42219178082192,-8.6,86.2,81.0,53.5,42.93643835616438,71.4,5.5,3.1,22.4,8.040273972602739,8.3,73.1,24.948493150684932,1023.0,2.802739726027397,0.006,0.271,0.11885479452054794
63549,Mount Hough,Plumas,9/14/2015,9/12/2016,51.42,2016,,-120.8800745,40.04104651,0.0278585100504341,-120.71327,40.03515,40.03515,-120.71327,2076.0,-28800,America/Los_Angeles,GMT-8,2016,53.10737704918033,30.939890710382514,-10.3,90.1,81.0,53.5,42.00081967213114,74.9,2.4,3.1,18.7,8.365300546448086,9.4,59.1,26.36939890710383,1605.0,4.385245901639344,0.005,0.274,0.11611748633879782
63915,Mount Hough,Plumas,9/12/2016,9/14/2017,78.78,2017,,-120.8800745,40.04104651,0.0278585100504341,-120.71327,40.03515,40.03515,-120.71327,2076.0,-28800,America/Los_Angeles,GMT-8,2017,53.7186301369863,30.325205479452055,-2.2,87.9,81.0,53.5,41.683287671232875,74.5,8.3,2.5,13.9,7.397260273972603,13.2,87.2,34.184383561643834,1613.0,4.419178082191781,0.008,0.271,0.11311780821917808
64280,Mount Hough,Plumas,9/14/2017,9/19/2018,40.02,2018,,-120.8800745,40.04104651,0.0278585100504341,-120.71327,40.03515,40.03515,-120.71327,2076.0,-28800,America/Los_Angeles,GMT-8,2018,55.078630136986305,29.40684931506849,-9.6,89.8,81.0,53.5,42.07890410958904,72.7,5.7,3.6,14.1,7.362465753424658,12.5,73.4,31.588219178082195,1078.0,2.9534246575342467,0.009,0.268,0.11999452054794521
64645,Mount Hough,Plumas,9/19/2018,9/25/2019,61.04,2019,,-120.8800745,40.04104651,0.0278585100504341,-120.71327,40.03515,40.03515,-120.71327,2076.0,-28800,America/Los_Angeles,GMT-8,2019,51.65780821917808,29.327945205479455,2.0,87.6,81.0,53.5,40.17589041095891,69.8,8.8,3.1,14.0,7.039178082191781,12.8,80.1,32.207945205479454,1598.0,4.3780821917808215,0.008,0.25,0.10960821917808218
65010,Mount Hough,Plumas,9/25/2019,9/25/2020,34.82,2020,,-120.8800745,40.04104651,0.0278585100504341,-120.71327,40.03515,40.03515,-120.71327,2076.0,-28800,America/Los_Angeles,GMT-8,2020,55.55956284153005,30.268579234972677,-1.8,90.2,81.0,53.5,42.735245901639345,72.8,9.4,2.2,13.8,7.171311475409835,13.6,60.0,31.559562841530052,867.0,2.3688524590163933,0.012,0.27,0.122224043715847
65376,Mount Hough,Plumas,9/1/2022,8/31/2023,76.06,2023,,-120.8800745,40.04104651,0.0278585100504341,-120.71327,40.03515,40.03515,-120.71327,2076.0,-28800,America/Los_Angeles,GMT-8,2023,51.44493150684932,28.72986301369863,2.0,90.5,81.0,53.5,39.576986301369864,72.6,7.8,3.1,12.7,7.312876712328767,11.6,69.3,28.877260273972606,1392.0,3.813698630136986,0.01,0.274,0.10906849315068494
65741,Mount Shasta,Siskiyou,9/30/2013,9/26/2014,22.51,2014,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2014,52.43150684931507,33.44602739726027,-0.7,87.6,81.0,53.5,42.44465753424657,71.2,6.4,3.0,13.7,6.8991780821917805,8.3,78.3,28.042465753424658,1432.0,3.9232876712328766,0.007,0.267,0.1125095890410959
66106,Mount Shasta,Siskiyou,9/26/2014,9/26/2015,51.91,2015,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2015,52.19945205479452,33.1854794520548,2.2,86.6,81.0,53.5,42.205479452054796,72.4,9.9,2.7,15.7,6.534794520547945,8.9,82.8,26.031232876712327,1250.0,3.4246575342465753,0.008,0.257,0.11052876712328769
66471,Mount Shasta,Siskiyou,9/26/2015,9/22/2016,68.75,2016,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2016,49.53825136612022,31.803825136612023,-2.1,87.0,81.0,53.5,40.3207650273224,72.2,5.6,3.4,14.8,6.985792349726776,9.6,71.4,29.064480874316942,1693.0,4.6256830601092895,0.008,0.246,0.10632786885245901
66837,Mount Shasta,Siskiyou,9/22/2016,9/27/2017,105.55,2017,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2017,48.55726027397261,31.457808219178084,0.6,85.5,81.0,53.5,39.82493150684932,74.4,6.8,2.2,13.9,6.579178082191781,11.9,106.7,41.75397260273973,1973.0,5.405479452054794,0.007,0.275,0.1035945205479452
67202,Mount Shasta,Siskiyou,9/27/2017,9/18/2018,35.04,2018,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2018,48.967123287671235,31.412328767123288,-0.5,83.1,81.0,53.5,40.08164383561644,69.7,7.4,2.1,12.7,6.415616438356164,12.1,94.0,39.5172602739726,1489.0,4.079452054794521,0.008,0.255,0.1072958904109589
67567,Mount Shasta,Siskiyou,9/15/2022,9/30/2019,71.39,2019,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2019,46.55561643835616,30.325753424657535,3.0,82.1,81.0,53.5,38.30301369863014,70.8,8.8,2.5,12.5,6.4030136986301365,13.6,95.3,39.87287671232877,2015.0,5.52054794520548,0.007,0.242,0.1002849315068493
67932,Mount Shasta,Siskiyou,9/30/2019,10/8/2020,29.27,2020,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2020,49.811202185792354,31.92021857923497,2.1,84.3,81.0,53.5,40.75218579234973,73.7,12.2,2.9,11.9,6.377868852459017,13.6,84.6,39.180601092896175,1240.0,3.387978142076503,0.008,0.257,0.11
68298,Mount Shasta,Siskiyou,10/8/2020,9/30/2021,20.81,2021,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2021,49.16794520547945,31.782739726027398,3.3,86.5,81.0,53.5,40.433150684931505,73.8,9.3,1.6,13.4,6.621369863013699,12.8,77.8,40.785479452054794,1496.0,4.098630136986301,0.005,0.274,0.1116027397260274
68663,Mount Shasta,Siskiyou,9/30/2021,9/15/2022,38.71,2022,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2022,48.66849315068493,31.302739726027397,3.6,87.6,81.0,53.5,39.912328767123284,76.1,10.6,2.1,12.3,6.546575342465753,11.6,77.6,36.43013698630137,1209.0,3.3123287671232875,0.007,0.267,0.10672328767123287
69028,Mount Shasta,Siskiyou,9/15/2022,9/6/2023,103.44,2023,,-122.2339878,41.36229015,0.0013471424539621092,-122.19829,41.370823,41.370823,-122.19829,2238.0,-28800,America/Los_Angeles,GMT-8,2023,46.00767123287671,30.266575342465753,2.3,84.1,81.0,53.5,38.0158904109589,70.2,7.7,2.7,15.8,6.748219178082191,12.8,101.1,37.28849315068493,1937.0,5.306849315068493,0.006,0.256,0.09939726027397261
69393,Mumbo Basin,Trinity,9/4/2013,9/22/2014,30.55,2014,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2014,58.236712328767126,38.57287671232877,10.0,92.7,81.0,53.5,47.99095890410959,77.0,16.2,2.3,12.2,6.021643835616438,8.1,66.0,24.678630136986303,1169.0,3.202739726027397,0.006,0.274,0.1194082191780822
69758,Mumbo Basin,Trinity,9/22/2014,9/10/2015,49.88,2015,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2015,58.53917808219178,38.55315068493151,8.7,91.7,81.0,53.5,48.11917808219178,77.6,16.4,1.7,12.5,5.8093150684931505,8.1,62.9,23.39917808219178,1052.0,2.882191780821918,0.008,0.275,0.11958082191780821
70123,Mumbo Basin,Trinity,9/10/2015,9/10/2016,67.66,2016,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2016,55.575956284153,36.977322404371584,7.7,92.8,81.0,53.5,46.10191256830601,77.5,14.2,2.2,11.7,6.144262295081968,8.5,56.1,25.71065573770492,1389.0,3.7950819672131146,0.007,0.267,0.1145
70489,Mumbo Basin,Trinity,9/10/2016,9/26/2017,90.41,2017,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2017,54.70356164383561,35.919999999999995,6.5,91.5,81.0,53.5,45.09178082191781,79.0,13.4,2.8,18.1,8.029041095890411,7.8,64.6,26.626575342465756,1774.0,4.86027397260274,0.006,0.294,0.11373150684931507
70854,Mumbo Basin,Trinity,9/26/2017,9/4/2018,38.67,2018,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2018,55.47945205479452,35.962739726027394,6.7,89.6,81.0,53.5,45.46520547945205,75.0,14.6,3.0,15.2,7.66904109589041,8.1,51.7,25.65068493150685,1315.0,3.6027397260273974,0.006,0.283,0.11826849315068493
71219,Mumbo Basin,Trinity,9/27/2023,9/26/2019,68.82,2019,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2019,53.04739726027397,35.12712328767123,8.1,87.4,81.0,53.5,43.82493150684932,76.4,16.3,2.7,16.0,7.744657534246576,9.6,52.1,25.841917808219176,1838.0,5.035616438356165,0.006,0.274,0.11015342465753425
71584,Mumbo Basin,Trinity,9/26/2019,9/14/2020,35.52,2020,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2020,56.19918032786886,36.49508196721312,12.4,90.5,81.0,53.5,46.083333333333336,77.0,18.5,2.5,15.5,7.550000000000001,9.8,53.2,25.15846994535519,1098.0,3.0,0.009,0.283,0.1206448087431694
71950,Mumbo Basin,Trinity,9/14/2020,9/1/2021,34.38,2021,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2021,55.77369863013699,36.223561643835616,8.5,93.8,81.0,53.5,45.66082191780822,79.6,15.9,2.5,15.9,7.814246575342465,9.8,49.9,25.908767123287674,1328.0,3.638356164383562,0.006,0.294,0.12244657534246575
72315,Mumbo Basin,Trinity,9/1/2021,9/27/2022,41.39,2022,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2022,54.84465753424657,35.56054794520548,8.4,93.1,81.0,53.5,45.04986301369863,80.3,15.8,2.9,17.6,7.633150684931507,7.8,54.8,24.06054794520548,1092.0,2.9917808219178084,0.007,0.278,0.11643013698630136
72680,Mumbo Basin,Trinity,9/27/2022,9/9/2023,66.96,2023,,-122.5252501,41.19790746,0.0020951611740608455,-122.49284,41.23023,41.23023,-122.49284,1735.0,-28800,America/Los_Angeles,GMT-8,2023,52.62493150684931,35.06301369863014,4.9,91.1,81.0,53.5,43.66164383561644,75.0,12.5,2.7,15.5,7.978904109589042,8.7,59.7,24.210410958904106,1767.0,4.841095890410959,0.006,0.281,0.10923835616438356
73045,Onion Valley,Plumas,9/9/2013,9/2/2014,28.33,2014,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2014,59.908493150684926,37.9854794520548,11.4,92.4,81.0,53.5,48.63369863013698,75.9,17.9,3.0,17.5,8.396986301369862,9.6,65.5,27.26219178082192,1288.0,3.5287671232876714,0.008,0.288,0.12881643835616438
73410,Onion Valley,Plumas,9/2/2014,9/14/2015,40.0,2015,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2015,59.527671232876706,36.7586301369863,3.3,89.1,81.0,53.5,47.83397260273973,74.6,15.7,3.3,23.0,8.314520547945206,9.2,75.6,26.66219178082192,951.0,2.6054794520547944,0.007,0.272,0.12663013698630138
73775,Onion Valley,Plumas,9/14/2015,9/12/2016,55.63,2016,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2016,57.43032786885246,36.08087431693989,-5.1,93.3,81.0,53.5,46.677595628415304,77.7,8.2,3.2,17.7,8.70601092896175,8.9,66.2,28.481420765027323,1593.0,4.352459016393443,0.006,0.283,0.12335519125683062
74141,Onion Valley,Plumas,9/12/2016,9/18/2017,92.71,2017,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2017,57.24876712328767,37.9572602739726,7.2,92.6,81.0,53.5,47.09178082191781,79.0,18.8,4.3,25.3,11.242465753424657,12.8,82.1,33.937260273972605,1832.0,5.019178082191781,0.004,0.309,0.12264383561643835
74506,Onion Valley,Plumas,9/18/2017,9/28/2018,45.99,2018,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2018,58.2668493150685,37.460547945205484,-0.1,91.7,81.0,53.5,47.41917808219178,76.6,14.1,4.0,24.0,10.366301369863013,13.4,73.6,31.138904109589042,1219.0,3.33972602739726,0.007,0.317,0.13115616438356165
74871,Onion Valley,Plumas,9/28/2018,9/18/2019,59.95,2019,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2019,55.1945205479452,36.89972602739726,12.7,89.0,81.0,53.5,45.54849315068493,73.6,18.5,4.6,27.1,10.645205479452056,13.6,85.2,32.24,1892.0,5.183561643835616,0.005,0.273,0.1188
75236,Onion Valley,Plumas,9/18/2019,10/5/2020,34.16,2020,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2020,59.135519125683054,38.24180327868852,13.4,93.0,81.0,53.5,48.1275956284153,77.5,19.4,4.1,22.1,10.113934426229507,10.5,65.5,30.358743169398906,1089.0,2.9754098360655736,0.006,0.293,0.13392622950819674
75602,Onion Valley,Plumas,10/5/2020,8/17/2021,20.61,2021,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2021,58.39808219178082,38.36630136986302,6.6,95.0,81.0,53.5,47.93232876712329,79.8,18.8,4.6,23.7,10.473150684931506,13.0,67.1,31.117534246575342,1310.0,3.589041095890411,0.004,0.317,0.1349890410958904
75967,Onion Valley,Plumas,8/17/2021,9/14/2022,42.51,2022,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2022,57.30383561643836,37.37835616438356,4.6,94.7,81.0,53.5,46.84821917808219,79.6,18.4,4.5,24.8,10.518082191780822,10.3,66.4,29.723561643835616,1085.0,2.9726027397260273,0.004,0.304,0.12990410958904108
76332,Onion Valley,Plumas,9/14/2022,9/12/2023,60.66,2023,,-120.884227,39.79926234,0.02730001235991759,-121.04312,39.753952,39.753952,-121.04312,1693.0,-28800,America/Los_Angeles,GMT-8,2023,54.92602739726028,35.94328767123287,10.3,91.7,81.0,53.5,44.837534246575345,77.5,15.6,4.2,23.7,10.610958904109589,10.5,70.5,29.957534246575342,1690.0,4.63013698630137,0.005,0.288,0.1165095890410959
76697,Patterson Meadow,Modoc,9/17/2013,9/10/2014,21.44,2014,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2014,54.25808219178082,34.672876712328765,-10.4,87.5,81.0,53.5,44.32657534246576,74.0,-0.2,3.4,18.3,8.453150684931508,9.4,61.3,25.46958904109589,1102.0,3.0191780821917806,0.009,0.292,0.12633424657534248
77062,Patterson Meadow,Modoc,9/10/2014,9/2/2015,24.37,2015,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2015,53.44493150684932,34.11561643835616,-7.6,87.0,81.0,53.5,43.64767123287671,74.7,2.4,2.9,17.0,8.02958904109589,10.3,67.8,23.931506849315067,1095.0,3.0,0.009,0.279,0.12221095890410959
77427,Patterson Meadow,Modoc,9/2/2015,8/31/2016,32.96,2016,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2016,50.869125683060105,32.655464480874315,-11.1,87.3,81.0,53.5,41.75409836065574,74.8,-2.7,3.4,21.1,8.592896174863387,6.7,70.0,26.005737704918033,1245.0,3.401639344262295,0.009,0.281,0.11906284153005464
77793,Patterson Meadow,Modoc,8/31/2016,9/7/2017,35.64,2017,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2017,49.94575342465754,32.844109589041096,1.1,85.2,81.0,53.5,41.53534246575342,74.1,5.6,4.7,23.7,10.721643835616439,11.2,61.3,28.501643835616438,1592.0,4.361643835616438,0.008,0.284,0.11435342465753424
78158,Patterson Meadow,Modoc,9/7/2017,9/11/2018,25.38,2018,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2018,50.92821917808219,32.344109589041096,-3.8,87.9,81.0,53.5,41.97945205479452,73.2,7.5,3.7,22.2,10.312602739726028,8.5,63.5,27.365479452054792,1203.0,3.2958904109589042,0.009,0.282,0.11842739726027397
78523,Patterson Meadow,Modoc,9/11/2018,9/11/2019,30.57,2019,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2019,48.16712328767123,31.57150684931507,0.5,80.7,81.0,53.5,40.00931506849315,70.8,10.5,4.5,20.7,10.267671232876712,8.3,60.4,27.09095890410959,1568.0,4.295890410958904,0.008,0.257,0.10785205479452055
78888,Patterson Meadow,Modoc,9/11/2019,10/1/2020,22.22,2020,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2020,51.654098360655745,32.9827868852459,4.2,86.6,81.0,53.5,42.58387978142077,73.7,9.0,4.7,20.2,10.50792349726776,10.1,58.8,27.606284153005465,1036.0,2.830601092896175,0.009,0.29,0.12312568306010929
79254,Patterson Meadow,Modoc,10/1/2020,8/16/2021,17.18,2021,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2021,51.64904109589042,33.446575342465756,1.5,88.0,81.0,53.5,42.78767123287671,75.6,11.8,4.0,20.9,10.664109589041097,9.2,56.1,27.6413698630137,1171.0,3.208219178082192,0.008,0.327,0.12492876712328768
79619,Patterson Meadow,Modoc,8/16/2021,9/22/2022,26.01,2022,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2022,50.756986301369864,32.33205479452055,2.3,87.6,81.0,53.5,41.78904109589041,77.3,9.0,3.1,22.2,10.671506849315069,7.2,60.2,26.576164383561643,1098.0,3.0082191780821916,0.007,0.298,0.12035068493150684
79984,Patterson Meadow,Modoc,9/22/2023,8/29/2023,29.8,2023,,-120.1985287,41.19019272,0.004395987282808419,-120.25752,41.159927,41.159927,-120.25752,2136.0,-28800,America/Los_Angeles,GMT-8,2023,48.20356164383561,31.465205479452052,1.2,87.4,81.0,53.5,39.93534246575342,72.8,7.5,4.0,22.1,10.276438356164384,8.7,54.8,25.544931506849313,1489.0,4.079452054794521,0.008,0.284,0.1093041095890411
80349,Pepperdine Camp,Modoc,9/16/2013,9/9/2014,22.03,2014,,-120.2463232,41.45416399,0.0032889064094397263,-120.30217,41.441124,41.441124,-120.30217,2035.0,-28800,America/Los_Angeles,GMT-8,2014,55.29835616438356,34.87424657534247,-13.2,88.6,81.0,53.5,45.01808219178082,74.9,-0.0,3.4,18.3,8.453150684931508,9.4,61.3,25.46958904109589,1102.0,3.0191780821917806,0.009,0.294,0.12617534246575343
80714,Pepperdine Camp,Modoc,9/9/2014,9/1/2015,25.26,2015,,-120.2463232,41.45416399,0.0032889064094397263,-120.30217,41.441124,41.441124,-120.30217,2035.0,-28800,America/Los_Angeles,GMT-8,2015,54.49287671232877,34.03534246575342,-9.5,87.9,81.0,53.5,44.25095890410959,76.2,1.2,2.9,17.0,8.02958904109589,10.3,67.8,23.931506849315067,1095.0,3.0,0.011,0.277,0.12186301369863015
81079,Pepperdine Camp,Modoc,9/1/2015,9/30/2016,33.53,2016,,-120.2463232,41.45416399,0.0032889064094397263,-120.30217,41.441124,41.441124,-120.30217,2035.0,-28800,America/Los_Angeles,GMT-8,2016,52.0827868852459,32.84945355191257,-9.3,88.7,81.0,53.5,42.59535519125683,75.2,-2.6,3.4,21.1,8.593715846994536,6.7,70.0,26.012021857923497,1245.0,3.401639344262295,0.009,0.283,0.11980054644808744
81445,Pepperdine Camp,Modoc,9/30/2016,9/16/2017,35.28,2017,,-120.2463232,41.45416399,0.0032889064094397263,-120.30217,41.441124,41.441124,-120.30217,2035.0,-28800,America/Los_Angeles,GMT-8,2017,51.544657534246575,33.718356164383565,-1.5,87.4,81.0,53.5,42.722191780821916,75.8,3.5,3.9,24.6,10.864657534246575,9.4,64.4,28.541917808219175,1612.0,4.416438356164384,0.008,0.295,0.1169041095890411
81810,Pepperdine Camp,Modoc,9/16/2017,9/11/2018,25.93,2018,,-120.2463232,41.45416399,0.0032889064094397263,-120.30217,41.441124,41.441124,-120.30217,2035.0,-28800,America/Los_Angeles,GMT-8,2018,52.51205479452055,32.82136986301369,-6.6,91.1,81.0,53.5,42.91561643835617,75.0,6.0,3.8,22.0,10.19917808219178,8.3,68.7,26.645479452054797,1213.0,3.3232876712328765,0.009,0.291,0.11969315068493151
82175,Pepperdine Camp,Modoc,9/11/2018,9/10/2019,31.43,2019,,-120.2463232,41.45416399,0.0032889064094397263,-120.30217,41.441124,41.441124,-120.30217,2035.0,-28800,America/Los_Angeles,GMT-8,2019,49.732328767123285,32.255616438356164,1.9,83.7,81.0,53.5,41.224657534246575,70.6,11.5,2.9,19.5,10.026027397260274,8.3,57.7,26.262739726027398,1538.0,4.213698630136986,0.007,0.279,0.11113698630136985
82540,Pepperdine Camp,Modoc,9/10/2019,9/1/2020,24.43,2020,,-120.2463232,41.45416399,0.0032889064094397263,-120.30217,41.441124,41.441124,-120.30217,2035.0,-28800,America/Los_Angeles,GMT-8,2020,52.942622950819676,33.54836065573771,1.4,89.6,81.0,53.5,43.51120218579235,74.4,8.6,4.2,20.4,10.536612021857923,8.9,60.6,27.272404371584702,1134.0,3.098360655737705,0.009,0.299,0.1242049180327869
